"",BBFB1.Q.N.DE.AR.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.AR.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Argentina,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:29,
1991-01,6.434,
1991-04,7.285,
1991-07,0.994,
1991-10,8.606,
1992-01,9.103,
1992-04,3.963,
1992-07,8.802,
1992-10,7.232,
1993-01,59.739,
1993-04,5.441,
1993-07,0.718,
1993-10,4.521,
1994-01,7.832,
1994-04,4.622,
1994-07,11.895,
1994-10,0.604,
1995-01,8.101,
1995-04,8.732,
1995-07,5.700,
1995-10,6.711,
1996-01,1.554,
1996-04,8.864,
1996-07,3.326,
1996-10,6.885,
1997-01,5.821,
1997-04,3.248,
1997-07,-3.738,
1997-10,3.183,
1998-01,4.308,
1998-04,8.080,
1998-07,-0.895,
1998-10,0.162,
1999-01,7.817,
1999-04,9.959,
1999-07,-17.452,
1999-10,6.285,
2000-01,7.718,
2000-04,8.668,
2000-07,-5.914,
2000-10,5.387,
2001-01,378.177,
2001-04,-6.252,
2001-07,206.626,
2001-10,399.145,
2002-01,-428.635,
2002-04,15.178,
2002-07,17.791,
2002-10,5.047,
2003-01,1.009,
2003-04,9.226,
2003-07,3.225,
2003-10,-1.672,
2004-01,-0.301,
2004-04,0.559,
2004-07,-12.313,
2004-10,-16.422,
2005-01,-10.348,
2005-04,-51.118,
2005-07,-5.556,
2005-10,22.237,
2006-01,-17.782,
2006-04,-1.084,
2006-07,-2.389,
2006-10,2.741,
2007-01,11.645,
2007-04,9.478,
2007-07,3.194,
2007-10,-6.646,
2008-01,-3.304,
2008-04,8.274,
2008-07,-7.712,
2008-10,-11.187,
2009-01,8.042,
2009-04,-14.243,
2009-07,-1.128,
2009-10,-3.319,
2010-01,-1.692,
2010-04,-13.629,
2010-07,-10.147,
2010-10,-3.024,
2011-01,1.658,
2011-04,-3.015,
2011-07,-5.287,
2011-10,-9.223,
2012-01,-8.791,
2012-04,-6.443,
2012-07,-15.476,
2012-10,-5.581,
2013-01,-3.335,
2013-04,-4.422,
2013-07,-5.026,
2013-10,-4.249,
2014-01,-6.184,Provisional value
2014-04,-5.885,Provisional value
2014-07,-2.416,Provisional value
2014-10,1.072,Provisional value
