"",BBK01.OEHB21L,BBK01.OEHB21L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:52,
2002-01,4.801,
2002-04,4.767,
2002-07,4.851,
2002-10,5.398,
2003-01,5.197,
2003-04,5.099,
2003-07,4.781,
2003-10,6.178,
2004-01,5.068,
2004-04,4.602,
2004-07,4.651,
2004-10,4.426,
2005-01,4.814,
2005-04,4.819,
2005-07,4.097,
2005-10,4.388,
2006-01,4.561,
2006-04,4.593,
2006-07,4.634,
2006-10,4.794,
2007-01,4.422,
2007-04,4.138,
2007-07,4.446,
2007-10,3.883,
2008-01,3.758,
2008-04,3.684,
2008-07,3.606,
2008-10,3.877,
2009-01,3.833,
2009-04,3.418,
2009-07,3.472,
2009-10,3.470,
2010-01,3.469,
2010-04,3.541,
2010-07,3.514,
2010-10,3.514,
2011-01,3.915,
2011-04,4.032,
2011-07,3.902,
2011-10,4.146,
2012-01,4.304,
2012-04,4.203,
2012-07,4.097,
2012-10,4.341,
2013-01,4.134,
2013-04,4.239,
2013-07,4.322,
2013-10,4.487,
2014-01,4.499,
2014-04,4.154,
2014-07,4.190,
