"",BBK01.PC3783,BBK01.PC3783_FLAGS
"",Lending to craft trades / Total / Foreign banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:24:42,
1985-10,0.046,
1986-01,0.079,
1986-04,0.066,
1986-07,0.066,
1986-10,0.060,
1987-01,0.072,
1987-04,0.071,
1987-07,0.056,
1987-10,0.056,
1988-01,0.061,
1988-04,0.070,
1988-07,0.065,
1988-10,0.077,
1989-01,0.112,
1989-04,0.070,
1989-07,0.045,
1989-10,0.041,
1990-01,0.065,
1990-04,0.073,
1990-07,0.074,
1990-10,0.082,
1991-01,0.054,
1991-04,0.062,
1991-07,0.065,
1991-10,0.048,
1992-01,0.054,
1992-04,0.059,
1992-07,0.053,
1992-10,0.515,
1993-01,0.508,
1993-04,0.519,
1993-07,0.509,
1993-10,0.476,
1994-01,0.528,
1994-04,0.510,
1994-07,0.546,
1994-10,0.570,
1995-01,0.552,
1995-04,0.572,
1995-07,0.547,
1995-10,0.582,
1996-01,0.539,
1996-04,0.546,
1996-07,0.528,
1996-10,0.488,
1997-01,0.487,
1997-04,0.497,
1997-07,0.418,
1997-10,0.413,
1998-01,0.417,
1998-04,0.440,
1998-07,0.408,
1998-10,0.393,
1999-01,0.307,
1999-04,0.564,
1999-07,0.546,
1999-10,0.480,
2000-01,0.498,
2000-04,0.473,
2000-07,0.336,
2000-10,0.383,
2001-01,0.367,
2001-04,0.381,
2001-07,0.356,
2001-10,0.366,
2002-01,0.351,
2002-04,0.345,
2002-07,0.329,
2002-10,0.352,
2003-01,0.357,
2003-04,0.327,
2003-07,0.340,
2003-10,0.351,
2004-01,0.380,
2004-04,0.384,
2004-07,0.159,
2004-10,0.513,
2005-01,0.517,
2005-04,0.538,
2005-07,0.578,
2005-10,4.220,
2006-01,4.076,
2006-04,4.025,
2006-07,4.015,
2006-10,3.927,
2007-01,3.851,
2007-04,3.739,
2007-07,3.492,
2007-10,3.352,
2008-01,3.412,
2008-04,3.434,
2008-07,3.421,
2008-10,3.408,
2009-01,3.281,
2009-04,1.038,
2009-07,0.939,
2009-10,0.926,
2010-01,0.910,
2010-04,0.876,
2010-07,0.809,
2010-10,0.942,
2011-01,1.135,
2011-04,1.044,
2011-07,0.969,
2011-10,0.990,
2012-01,0.948,
2012-04,0.927,
2012-07,0.866,
2012-10,0.851,
2013-01,0.784,
2013-04,0.863,
2013-07,0.891,
2013-10,0.941,
2014-01,0.857,
2014-04,0.922,
2014-07,0.902,
2014-10,0.889,
