"",BBK01.CEB50N,BBK01.CEB50N_FLAGS
"",Shares and other equity debtor: All sectors                    creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:49,
1991-01,117.3,
1991-04,123.3,
1991-07,122.2,
1991-10,124.8,
1992-01,124.7,
1992-04,123.2,
1992-07,108.5,
1992-10,118.8,
1993-01,118.5,
1993-04,119.8,
1993-07,130.8,
1993-10,145.2,
1994-01,137.7,
1994-04,138.5,
1994-07,138.9,
1994-10,147.8,
1995-01,135.4,
1995-04,146.5,
1995-07,151.8,
1995-10,157.5,
1996-01,162.5,
1996-04,172.4,
1996-07,175.0,
1996-10,194.5,
1997-01,210.3,
1997-04,227.1,
1997-07,251.3,
1997-10,264.5,
1998-01,296.8,
1998-04,352.1,
1998-07,304.9,
1998-10,361.1,
1999-01,361.4,
1999-04,359.8,
1999-07,340.1,
1999-10,511.5,
2000-01,599.5,
2000-04,596.6,
2000-07,589.0,
2000-10,586.6,
2001-01,571.5,
2001-04,626.8,
2001-07,563.1,
2001-10,545.8,
2002-01,578.9,
2002-04,552.6,
2002-07,425.9,
2002-10,441.6,
2003-01,442.0,
2003-04,494.3,
2003-07,503.8,
2003-10,565.9,
2004-01,569.0,
2004-04,559.3,
2004-07,560.9,
2004-10,604.2,
2005-01,606.9,
2005-04,624.8,
2005-07,669.1,
2005-10,717.8,
2006-01,1134.2,
2006-04,1078.9,
2006-07,1090.4,
2006-10,1079.8,
2007-01,1181.4,
2007-04,1331.8,
2007-07,1328.1,
2007-10,1303.1,
2008-01,1118.4,
2008-04,1081.5,
2008-07,990.8,
2008-10,809.1,
2009-01,755.4,
2009-04,841.3,
2009-07,955.2,
2009-10,955.6,
2010-01,991.2,
2010-04,966.4,
2010-07,994.7,
2010-10,1073.5,
2011-01,1078.1,
2011-04,1084.4,
2011-07,948.1,
2011-10,981.3,
2012-01,1072.3,
2012-04,1026.8,
2012-07,1088.7,
2012-10,1133.7,
2013-01,1169.8,
2013-04,1178.7,
2013-07,1234.0,
2013-10,1338.1,
2014-01,1346.7,
