"",BBK01.SJ0805,BBK01.SJ0805_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-04-30 10:36:43,
1995,.,No value available
1996,.,No value available
1997,.,No value available
1998,.,No value available
1999,17,
2000,18,
2001,25,
2002,.,No value available
2003,.,No value available
2004,.,No value available
2005,.,No value available
2006,.,No value available
2007,.,No value available
2008,.,No value available
2009,.,No value available
2010,-,Nothing exists
