"",BBK01.OEAA21Q,BBK01.OEAA21Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:17,
2002-01,18.352,
2002-04,18.806,
2002-07,19.051,
2002-10,19.758,
2003-01,19.835,
2003-04,20.702,
2003-07,20.866,
2003-10,21.700,
2004-01,21.645,
2004-04,18.309,
2004-07,17.975,
2004-10,19.161,
2005-01,19.218,
2005-04,19.059,
2005-07,18.881,
2005-10,19.142,
2006-01,20.000,
2006-04,20.956,
2006-07,21.142,
2006-10,22.473,
2007-01,24.542,
2007-04,24.326,
2007-07,24.910,
2007-10,24.406,
2008-01,19.978,
2008-04,19.425,
2008-07,19.908,
2008-10,20.087,
2009-01,19.788,
2009-04,19.563,
2009-07,21.386,
2009-10,26.241,
2010-01,26.519,
2010-04,26.630,
2010-07,23.215,
2010-10,22.891,
2011-01,23.238,
2011-04,22.667,
2011-07,18.057,
2011-10,17.966,
2012-01,17.901,
2012-04,18.566,
2012-07,18.694,
2012-10,23.036,
2013-01,22.684,
2013-04,21.544,
2013-07,21.187,
2013-10,26.134,
2014-01,25.627,
2014-04,25.568,
2014-07,25.929,
