"",BBK01.OEXB04J,BBK01.OEXB04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:18,
2002-01,1.250,
2002-04,1.250,
2002-07,1.244,
2002-10,1.241,
2003-01,1.243,
2003-04,1.249,
2003-07,1.253,
2003-10,1.260,
2004-01,1.263,
2004-04,1.276,
2004-07,1.298,
2004-10,1.220,
2005-01,1.202,
2005-04,1.208,
2005-07,1.225,
2005-10,1.379,
2006-01,1.389,
2006-04,1.426,
2006-07,1.474,
2006-10,1.489,
2007-01,1.494,
2007-04,1.558,
2007-07,1.553,
2007-10,1.593,
2008-01,1.587,
2008-04,1.693,
2008-07,1.725,
2008-10,1.736,
2009-01,1.769,
2009-04,1.767,
2009-07,1.755,
2009-10,1.748,
2010-01,1.762,
2010-04,1.741,
2010-07,1.725,
2010-10,1.692,
2011-01,1.687,
2011-04,1.657,
2011-07,1.674,
2011-10,1.682,
2012-01,1.708,
2012-04,1.704,
2012-07,1.709,
2012-10,1.749,
2013-01,1.722,
2013-04,1.698,
2013-07,1.712,
2013-10,1.643,
2014-01,1.750,
2014-04,1.744,
2014-07,1.648,
