"",BBK01.OEYI01S,BBK01.OEYI01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:38,
2002-01,4.608,
2002-04,4.620,
2002-07,4.617,
2002-10,4.910,
2003-01,5.076,
2003-04,5.112,
2003-07,5.122,
2003-10,5.549,
2004-01,5.616,
2004-04,5.659,
2004-07,5.662,
2004-10,4.501,
2005-01,4.675,
2005-04,4.708,
2005-07,4.753,
2005-10,5.011,
2006-01,5.106,
2006-04,5.210,
2006-07,5.158,
2006-10,5.506,
2007-01,5.451,
2007-04,5.490,
2007-07,5.555,
2007-10,5.828,
2008-01,5.848,
2008-04,5.748,
2008-07,5.734,
2008-10,5.666,
2009-01,5.923,
2009-04,4.552,
2009-07,4.696,
2009-10,4.916,
2010-01,4.986,
2010-04,5.080,
2010-07,5.133,
2010-10,4.947,
2011-01,5.082,
2011-04,4.999,
2011-07,5.026,
2011-10,5.244,
2012-01,5.429,
2012-04,5.392,
2012-07,5.743,
2012-10,5.428,
2013-01,5.780,
2013-04,5.998,
2013-07,5.973,
2013-10,5.742,
2014-01,5.926,
2014-04,6.052,
2014-07,6.187,
