"",BBDE1.M.DE.Y.AEB1.A2Q610000.F.V.I10.A,BBDE1.M.DE.Y.AEB1.A2Q610000.F.V.I10.A_FLAGS
"","Orders received from the domestic market / At current prices, flows / Germany / Capital goods excluding 30 Manufacture of other transport equipment / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:40,
1995-01,78.5,
1995-02,80.4,
1995-03,81.1,
1995-04,80.5,
1995-05,82.3,
1995-06,79.2,
1995-07,79.4,
1995-08,79.7,
1995-09,80.9,
1995-10,77.0,
1995-11,78.5,
1995-12,82.6,
1996-01,80.9,
1996-02,77.5,
1996-03,82.1,
1996-04,82.1,
1996-05,79.5,
1996-06,83.3,
1996-07,81.6,
1996-08,81.8,
1996-09,82.9,
1996-10,83.9,
1996-11,81.1,
1996-12,80.5,
1997-01,81.2,
1997-02,78.3,
1997-03,83.7,
1997-04,83.6,
1997-05,83.5,
1997-06,83.2,
1997-07,83.6,
1997-08,82.3,
1997-09,82.4,
1997-10,84.2,
1997-11,86.1,
1997-12,84.3,
1998-01,87.5,
1998-02,86.7,
1998-03,91.3,
1998-04,88.6,
1998-05,89.7,
1998-06,90.7,
1998-07,88.9,
1998-08,87.6,
1998-09,89.1,
1998-10,87.8,
1998-11,89.4,
1998-12,87.7,
1999-01,91.0,
1999-02,86.0,
1999-03,87.0,
1999-04,86.5,
1999-05,88.1,
1999-06,93.6,
1999-07,91.0,
1999-08,91.9,
1999-09,91.0,
1999-10,90.7,
1999-11,92.6,
1999-12,93.1,
2000-01,91.5,
2000-02,96.7,
2000-03,93.8,
2000-04,101.6,
2000-05,99.2,
2000-06,97.6,
2000-07,99.2,
2000-08,99.7,
2000-09,98.7,
2000-10,98.9,
2000-11,101.1,
2000-12,99.2,
2001-01,99.1,
2001-02,101.3,
2001-03,99.0,
2001-04,98.0,
2001-05,95.8,
2001-06,96.3,
2001-07,96.5,
2001-08,99.3,
2001-09,95.2,
2001-10,93.7,
2001-11,92.2,
2001-12,93.9,
2002-01,94.6,
2002-02,91.7,
2002-03,92.5,
2002-04,92.8,
2002-05,91.9,
2002-06,96.0,
2002-07,93.2,
2002-08,96.7,
2002-09,94.5,
2002-10,94.3,
2002-11,95.0,
2002-12,92.8,
2003-01,94.6,
2003-02,97.5,
2003-03,92.0,
2003-04,92.9,
2003-05,94.0,
2003-06,90.7,
2003-07,93.6,
2003-08,91.4,
2003-09,95.4,
2003-10,96.9,
2003-11,99.2,
2003-12,96.4,
2004-01,96.6,
2004-02,98.0,
2004-03,97.3,
2004-04,98.9,
2004-05,97.6,
2004-06,98.2,
2004-07,98.6,
2004-08,97.1,
2004-09,98.3,
2004-10,102.9,
2004-11,98.7,
2004-12,101.0,
2005-01,98.2,
2005-02,96.8,
2005-03,98.6,
2005-04,99.3,
2005-05,97.6,
2005-06,102.4,
2005-07,102.1,
2005-08,102.4,
2005-09,103.9,
2005-10,104.1,
2005-11,105.2,
2005-12,104.0,
2006-01,104.2,
2006-02,104.9,
2006-03,103.3,
2006-04,106.0,
2006-05,110.7,
2006-06,106.0,
2006-07,107.7,
2006-08,111.1,
2006-09,115.1,
2006-10,111.2,
2006-11,111.2,
2006-12,112.5,
2007-01,115.1,
2007-02,117.3,
2007-03,119.1,
2007-04,114.3,
2007-05,118.1,
2007-06,115.9,
2007-07,117.3,
2007-08,116.8,
2007-09,117.4,
2007-10,120.7,
2007-11,120.4,
2007-12,125.8,
2008-01,119.8,
2008-02,120.9,
2008-03,117.9,
2008-04,120.4,
2008-05,114.7,
2008-06,115.1,
2008-07,110.9,
2008-08,114.8,
2008-09,109.2,
2008-10,101.9,
2008-11,92.7,
2008-12,88.4,
2009-01,84.5,
2009-02,86.5,
2009-03,87.1,
2009-04,83.2,
2009-05,84.4,
2009-06,85.0,
2009-07,79.1,
2009-08,91.6,
2009-09,87.9,
2009-10,87.3,
2009-11,89.4,
2009-12,86.9,
2010-01,84.4,
2010-02,92.7,
2010-03,95.4,
2010-04,98.7,
2010-05,99.6,
2010-06,102.0,
2010-07,99.9,
2010-08,102.5,
2010-09,102.8,
2010-10,105.6,
2010-11,104.7,
2010-12,104.2,
2011-01,109.4,
2011-02,113.1,
2011-03,107.8,
2011-04,109.9,
2011-05,104.0,
2011-06,111.2,
2011-07,113.8,
2011-08,110.9,
2011-09,108.7,
2011-10,108.6,
2011-11,108.6,
2011-12,106.4,
2012-01,108.2,
2012-02,109.6,
2012-03,104.9,
2012-04,108.0,
2012-05,108.7,
2012-06,107.6,
2012-07,106.4,
2012-08,103.8,
2012-09,103.2,
2012-10,102.8,
2012-11,102.1,
2012-12,105.2,
2013-01,104.3,
2013-02,105.7,
2013-03,107.2,
2013-04,105.2,
2013-05,102.7,
2013-06,108.3,
2013-07,104.7,
2013-08,110.2,
2013-09,110.6,
2013-10,109.2,
2013-11,112.1,
2013-12,106.3,
2014-01,110.5,
2014-02,113.4,
2014-03,109.7,
2014-04,113.1,
2014-05,110.0,
2014-06,108.6,
2014-07,111.3,
2014-08,110.1,
2014-09,107.8,
2014-10,114.5,
2014-11,111.0,
2014-12,112.4,Provisional value
