"",BBK01.OELL04I,BBK01.OELL04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:59,
2002-01,0.737,
2002-04,0.797,
2002-07,0.633,
2002-10,0.600,
2003-01,0.590,
2003-04,0.702,
2003-07,0.549,
2003-10,0.610,
2004-01,0.527,
2004-04,0.467,
2004-07,0.455,
2004-10,0.834,
2005-01,0.537,
2005-04,0.471,
2005-07,0.464,
2005-10,0.494,
2006-01,0.494,
2006-04,0.461,
2006-07,0.491,
2006-10,0.489,
2007-01,0.512,
2007-04,0.584,
2007-07,0.676,
2007-10,0.782,
2008-01,0.730,
2008-04,0.814,
2008-07,0.712,
2008-10,0.875,
2009-01,1.013,
2009-04,0.760,
2009-07,0.647,
2009-10,0.531,
2010-01,0.379,
2010-04,0.369,
2010-07,0.331,
2010-10,0.334,
2011-01,0.298,
2011-04,0.313,
2011-07,0.335,
2011-10,0.322,
2012-01,0.309,
2012-04,0.286,
2012-07,0.264,
2012-10,0.236,
2013-01,0.221,
2013-04,0.231,
2013-07,0.228,
2013-10,0.187,
2014-01,0.180,
2014-04,0.191,
2014-07,0.195,
