"",BBK01.OEYB22R,BBK01.OEYB22R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:27,
2002-01,0.006,
2002-04,0.010,
2002-07,0.010,
2002-10,0.019,
2003-01,0.010,
2003-04,0.007,
2003-07,0.007,
2003-10,0.220,
2004-01,0.007,
2004-04,0.017,
2004-07,0.017,
2004-10,0.016,
2005-01,0.016,
2005-04,0.016,
2005-07,0.016,
2005-10,0.018,
2006-01,0.025,
2006-04,0.082,
2006-07,0.043,
2006-10,0.047,
2007-01,0.049,
2007-04,0.044,
2007-07,0.044,
2007-10,0.024,
2008-01,0.068,
2008-04,0.024,
2008-07,0.084,
2008-10,0.133,
2009-01,0.141,
2009-04,0.106,
2009-07,0.044,
2009-10,0.133,
2010-01,0.058,
2010-04,0.008,
2010-07,0.071,
2010-10,0.021,
2011-01,0.086,
2011-04,0.080,
2011-07,0.026,
2011-10,0.017,
2012-01,0.055,
2012-04,0.006,
2012-07,0.019,
2012-10,0.018,
2013-01,0.001,
2013-04,-,Nothing exists
2013-07,0.004,
2013-10,0.008,
2014-01,0.018,
2014-04,0.047,
2014-07,0.006,
