"",BBK01.OEYB08M,BBK01.OEYB08M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:18,
2002-01,79.990,
2002-04,74.915,
2002-07,75.925,
2002-10,76.804,
2003-01,77.130,
2003-04,86.828,
2003-07,87.941,
2003-10,87.960,
2004-01,88.260,
2004-04,87.222,
2004-07,85.264,
2004-10,85.357,
2005-01,84.117,
2005-04,84.868,
2005-07,85.615,
2005-10,85.232,
2006-01,86.719,
2006-04,85.552,
2006-07,77.715,
2006-10,78.971,
2007-01,79.731,
2007-04,80.380,
2007-07,80.980,
2007-10,81.462,
2008-01,80.430,
2008-04,80.887,
2008-07,82.580,
2008-10,83.391,
2009-01,83.587,
2009-04,84.131,
2009-07,85.072,
2009-10,85.301,
2010-01,85.469,
2010-04,83.861,
2010-07,82.973,
2010-10,83.739,
2011-01,82.279,
2011-04,82.868,
2011-07,83.441,
2011-10,83.285,
2012-01,81.785,
2012-04,82.246,
2012-07,81.544,
2012-10,80.856,
2013-01,80.741,
2013-04,79.887,
2013-07,78.718,
2013-10,77.849,
2014-01,77.173,
2014-04,76.241,
2014-07,75.660,
