"",BBSF2.M.1.T.00000.TOT01.I.F.WPS.MT.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.WPS.MT.00000.000000.Z01.00_FLAGS
"",Funds total / Funds total / Securities total / Malta,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:30,
2009-09,16,
2009-10,8,
2009-11,13,
2009-12,22,
2010-01,21,
2010-02,19,
2010-03,20,
2010-04,14,
2010-05,17,
2010-06,17,
2010-07,16,
2010-08,16,
2010-09,16,
2010-10,18,
2010-11,18,
2010-12,18,
2011-01,18,
2011-02,19,
2011-03,18,
2011-04,18,
2011-05,29,
2011-06,29,
2011-07,21,
2011-08,21,
2011-09,20,
2011-10,21,
2011-11,20,
2011-12,18,
2012-01,8,
2012-02,2,
2012-03,2,
2012-04,5,
2012-05,10,
2012-06,11,
2012-07,12,
2012-08,11,
2012-09,9,
2012-10,9,
2012-11,8,
2012-12,9,
2013-01,8,
2013-02,9,
2013-03,30,
2013-04,29,
2013-05,28,
2013-06,28,
2013-07,28,
2013-08,28,
2013-09,28,
2013-10,28,
2013-11,33,
2013-12,32,
2014-01,40,
2014-02,39,
2014-03,39,
2014-04,34,
2014-05,43,
2014-06,53,
2014-07,49,
2014-08,53,
2014-09,54,
2014-10,67,
2014-11,69,
