"",BBK01.OECL09Q,BBK01.OECL09Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:16,
2002-01,0.070,
2002-04,0.067,
2002-07,0.066,
2002-10,0.066,
2003-01,0.060,
2003-04,0.057,
2003-07,0.055,
2003-10,0.054,
2004-01,0.052,
2004-04,0.050,
2004-07,0.049,
2004-10,0.059,
2005-01,0.069,
2005-04,0.066,
2005-07,0.063,
2005-10,0.061,
2006-01,0.059,
2006-04,0.061,
2006-07,0.067,
2006-10,0.070,
2007-01,0.082,
2007-04,0.087,
2007-07,0.086,
2007-10,0.094,
2008-01,0.095,
2008-04,0.100,
2008-07,0.111,
2008-10,0.164,
2009-01,0.186,
2009-04,0.181,
2009-07,0.178,
2009-10,0.144,
2010-01,0.099,
2010-04,0.093,
2010-07,0.090,
2010-10,0.098,
2011-01,0.110,
2011-04,0.111,
2011-07,0.112,
2011-10,0.103,
2012-01,0.097,
2012-04,0.095,
2012-07,0.088,
2012-10,0.077,
2013-01,0.064,
2013-04,0.054,
2013-07,0.049,
2013-10,0.048,
2014-01,0.043,
2014-04,0.041,
2014-07,0.048,
