"",BBK01.OELB13I,BBK01.OELB13I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:32,
2002-01,1.576,
2002-04,1.578,
2002-07,1.577,
2002-10,1.555,
2003-01,1.536,
2003-04,1.571,
2003-07,1.553,
2003-10,1.544,
2004-01,1.551,
2004-04,1.582,
2004-07,1.558,
2004-10,1.500,
2005-01,1.520,
2005-04,1.515,
2005-07,1.533,
2005-10,1.510,
2006-01,1.474,
2006-04,1.455,
2006-07,1.411,
2006-10,1.364,
2007-01,1.333,
2007-04,1.405,
2007-07,1.375,
2007-10,1.440,
2008-01,1.458,
2008-04,1.457,
2008-07,1.449,
2008-10,1.502,
2009-01,1.495,
2009-04,1.503,
2009-07,1.510,
2009-10,1.419,
2010-01,1.427,
2010-04,1.448,
2010-07,1.434,
2010-10,1.396,
2011-01,1.376,
2011-04,1.369,
2011-07,1.382,
2011-10,1.392,
2012-01,1.408,
2012-04,2.848,
2012-07,2.881,
2012-10,2.928,
2013-01,2.946,
2013-04,2.960,
2013-07,2.950,
2013-10,2.995,
2014-01,3.022,
2014-04,3.018,
2014-07,3.030,
