"",BBK01.OELB09K,BBK01.OELB09K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:49,
2002-01,0.579,
2002-04,0.623,
2002-07,0.622,
2002-10,0.603,
2003-01,0.576,
2003-04,0.564,
2003-07,0.552,
2003-10,0.512,
2004-01,0.489,
2004-04,0.498,
2004-07,0.482,
2004-10,0.507,
2005-01,0.488,
2005-04,0.474,
2005-07,0.493,
2005-10,0.483,
2006-01,0.495,
2006-04,0.484,
2006-07,0.500,
2006-10,0.504,
2007-01,0.488,
2007-04,0.507,
2007-07,0.480,
2007-10,0.527,
2008-01,0.524,
2008-04,0.597,
2008-07,0.561,
2008-10,0.591,
2009-01,0.614,
2009-04,0.595,
2009-07,0.597,
2009-10,0.623,
2010-01,0.607,
2010-04,0.811,
2010-07,0.821,
2010-10,0.800,
2011-01,0.775,
2011-04,0.825,
2011-07,0.812,
2011-10,0.827,
2012-01,0.832,
2012-04,0.936,
2012-07,0.960,
2012-10,0.971,
2013-01,1.056,
2013-04,1.048,
2013-07,1.055,
2013-10,1.093,
2014-01,1.072,
2014-04,1.108,
2014-07,1.173,
