"",BBK01.OEYB04S,BBK01.OEYB04S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:30,
2002-01,5.946,
2002-04,5.928,
2002-07,5.966,
2002-10,6.071,
2003-01,6.102,
2003-04,6.134,
2003-07,6.179,
2003-10,6.334,
2004-01,6.238,
2004-04,6.294,
2004-07,6.331,
2004-10,4.907,
2005-01,4.850,
2005-04,4.851,
2005-07,4.795,
2005-10,4.737,
2006-01,4.709,
2006-04,4.726,
2006-07,4.758,
2006-10,4.704,
2007-01,4.794,
2007-04,4.862,
2007-07,4.969,
2007-10,4.918,
2008-01,5.007,
2008-04,5.105,
2008-07,5.204,
2008-10,5.181,
2009-01,5.195,
2009-04,5.170,
2009-07,5.159,
2009-10,5.097,
2010-01,5.129,
2010-04,5.185,
2010-07,5.189,
2010-10,5.123,
2011-01,5.125,
2011-04,5.239,
2011-07,5.263,
2011-10,5.300,
2012-01,5.313,
2012-04,5.510,
2012-07,5.555,
2012-10,5.670,
2013-01,5.591,
2013-04,5.608,
2013-07,5.613,
2013-10,5.619,
2014-01,5.552,
2014-04,5.552,
2014-07,5.602,
