"",BBK01.OEAE25Q,BBK01.OEAE25Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:27,
2002-01,0.201,
2002-04,0.195,
2002-07,0.191,
2002-10,0.192,
2003-01,0.193,
2003-04,0.192,
2003-07,0.200,
2003-10,0.193,
2004-01,0.188,
2004-04,0.160,
2004-07,0.162,
2004-10,0.150,
2005-01,0.159,
2005-04,0.163,
2005-07,0.187,
2005-10,0.145,
2006-01,0.147,
2006-04,0.147,
2006-07,0.139,
2006-10,0.124,
2007-01,0.157,
2007-04,0.120,
2007-07,0.125,
2007-10,0.104,
2008-01,0.118,
2008-04,0.110,
2008-07,0.116,
2008-10,0.129,
2009-01,0.131,
2009-04,0.135,
2009-07,0.183,
2009-10,0.183,
2010-01,0.152,
2010-04,0.152,
2010-07,0.093,
2010-10,0.133,
2011-01,0.119,
2011-04,0.075,
2011-07,0.072,
2011-10,0.072,
2012-01,0.071,
2012-04,0.093,
2012-07,0.094,
2012-10,0.101,
2013-01,0.117,
2013-04,0.103,
2013-07,0.102,
2013-10,0.112,
2014-01,0.127,
2014-04,0.131,
2014-07,0.117,
