"",BBFI1.Q.N.DE.W1.S1.S1.LE.A.FA.P.F._Z._T.M.N,BBFI1.Q.N.DE.W1.S1.S1.LE.A.FA.P.F._Z._T.M.N_FLAGS
"",IIP - Portfolio investment - Assets - Positions - all countries - all sectors - all currencies,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:01:30,
1999-10,889205,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,1070336,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,1107199,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,1029489,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,1094076,
2004-01,1154409,
2004-04,1171159,
2004-07,1190443,
2004-10,1230802,
2005-01,1311246,
2005-04,1415322,
2005-07,1467214,
2005-10,1540997,
2006-01,1609862,
2006-04,1595879,
2006-07,1668429,
2006-10,1720860,
2007-01,1792512,
2007-04,1817546,
2007-07,1802703,
2007-10,1783037,
2008-01,1728405,
2008-04,1732662,
2008-07,1693633,
2008-10,1544271,
2009-01,1523974,
2009-04,1611529,
2009-07,1715371,
2009-10,1740848,
2010-01,1798041,
2010-04,1807881,
2010-07,1847205,
2010-10,1912652,
2011-01,1918664,
2011-04,1921463,
2011-07,1820726,
2011-10,1839671,
2012-01,1959574,
2012-04,1955119,
2012-07,2032359,
2012-10,2091967,
2013-01,2152155,
2013-04,2141638,
2013-07,2192718,
2013-10,2235963,
2014-01,2306526,
2014-04,2410728,
2014-07,2473458,
