"",BBK01.OEXJ07G,BBK01.OEXJ07G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:59,
2002-01,0.060,
2002-04,0.073,
2002-07,0.072,
2002-10,0.070,
2003-01,0.085,
2003-04,0.088,
2003-07,0.088,
2003-10,0.099,
2004-01,0.092,
2004-04,0.094,
2004-07,0.096,
2004-10,0.111,
2005-01,0.119,
2005-04,0.132,
2005-07,0.008,
2005-10,0.010,
2006-01,0.008,
2006-04,0.008,
2006-07,0.009,
2006-10,0.008,
2007-01,0.006,
2007-04,0.006,
2007-07,0.006,
2007-10,0.018,
2008-01,0.021,
2008-04,0.021,
2008-07,0.024,
2008-10,0.023,
2009-01,0.023,
2009-04,0.023,
2009-07,0.024,
2009-10,0.024,
2010-01,0.025,
2010-04,0.025,
2010-07,0.026,
2010-10,0.029,
2011-01,0.029,
2011-04,0.032,
2011-07,0.032,
2011-10,0.016,
2012-01,0.017,
2012-04,0.016,
2012-07,0.022,
2012-10,0.026,
2013-01,0.026,
2013-04,0.020,
2013-07,0.014,
2013-10,0.016,
2014-01,0.016,
2014-04,0.016,
2014-07,0.018,
