"",BBDA1.M.DE.N.IM.S.GP09IS04.W1.A.V.ABA.A,BBDA1.M.DE.N.IM.S.GP09IS04.W1.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / Consumer goods / Absolute value",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:38:56,
2008-01,13462106,
2008-02,13584530,
2008-03,12756338,
2008-04,13318025,
2008-05,12341640,
2008-06,12657234,
2008-07,13986907,
2008-08,12573690,
2008-09,14427267,
2008-10,14902736,
2008-11,13911570,
2008-12,12935171,
2009-01,12381372,
2009-02,12214971,
2009-03,12061915,
2009-04,11482815,
2009-05,10541071,
2009-06,10998039,
2009-07,12360042,
2009-08,11368446,
2009-09,12744349,
2009-10,12530256,
2009-11,12184995,
2009-12,11366107,
2010-01,12123745,
2010-02,11704107,
2010-03,13442095,
2010-04,11737242,
2010-05,12101322,
2010-06,12757626,
2010-07,13058098,
2010-08,13215515,
2010-09,13424337,
2010-10,13906165,
2010-11,13795717,
2010-12,12912313,
2011-01,13307219,
2011-02,13198039,
2011-03,14342077,
2011-04,12488267,
2011-05,13852499,
2011-06,13381161,
2011-07,13822408,
2011-08,15184213,
2011-09,15052703,
2011-10,14611450,
2011-11,14522558,
2011-12,13608774,
2012-01,13722513,
2012-02,13865566,
2012-03,14234488,
2012-04,12340663,
2012-05,13718895,
2012-06,13543692,
2012-07,14278239,
2012-08,14566661,
2012-09,14853976,
2012-10,15742739,
2012-11,14584441,
2012-12,12303506,
2013-01,14872684,
2013-02,14077217,
2013-03,14089624,
2013-04,14204539,
2013-05,13695446,
2013-06,13708167,
2013-07,15280198,
2013-08,14526173,
2013-09,15600703,
2013-10,16017796,
2013-11,14665790,
2013-12,13693713,
2014-01,15934517,
2014-02,15591101,
2014-03,15823444,
2014-04,14934033,
2014-05,14699155,
2014-06,15292999,
2014-07,16327592,
2014-08,15527472,
2014-09,17174174,
2014-10,17576384,
2014-11,16427133,
2014-12,15345797,
