"",BBFN1.M.DE.N.1.L.IN.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.IN.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / India,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:25:48,
1994-12,0.614,
1995-01,0.637,
1995-02,0.662,
1995-03,0.677,
1995-04,0.682,
1995-05,0.684,
1995-06,0.726,
1995-07,0.752,
1995-08,0.767,
1995-09,0.776,
1995-10,0.759,
1995-11,0.667,
1995-12,0.569,
1996-01,0.600,
1996-02,0.646,
1996-03,0.692,
1996-04,0.729,
1996-05,0.770,
1996-06,0.624,
1996-07,0.640,
1996-08,0.641,
1996-09,0.644,
1996-10,0.647,
1996-11,0.604,
1996-12,0.573,
1997-01,0.583,
1997-02,0.580,
1997-03,0.617,
1997-04,0.651,
1997-05,0.622,
1997-06,0.640,
1997-07,0.675,
1997-08,0.629,
1997-09,0.638,
1997-10,0.590,
1997-11,0.580,
1997-12,0.562,
1998-01,0.642,
1998-02,0.660,
1998-03,0.555,
1998-04,0.581,
1998-05,0.555,
1998-06,0.509,
1998-07,0.539,
1998-08,0.519,
1998-09,0.531,
1998-10,0.527,
1998-11,0.503,
1998-12,0.467,
1999-01,0.476,
1999-02,0.525,
1999-03,0.472,
1999-04,0.530,
1999-05,0.464,
1999-06,0.511,
1999-07,0.489,
1999-08,0.468,
1999-09,0.410,
1999-10,0.387,
1999-11,0.408,
1999-12,0.424,
2000-01,0.443,
2000-02,0.435,
2000-03,0.437,
2000-04,0.375,
2000-05,0.382,
2000-06,0.411,
2000-07,0.385,
2000-08,0.386,
2000-09,0.421,
2000-10,0.430,
2000-11,0.428,
2000-12,0.466,
2001-01,0.465,
2001-02,0.494,
2001-03,0.553,
2001-04,0.545,
2001-05,0.556,
2001-06,0.569,
2001-07,0.525,
2001-08,0.574,
2001-09,0.605,
2001-10,0.608,
2001-11,0.609,
2001-12,0.645,
2002-01,0.584,
2002-02,0.601,
2002-03,0.629,
2002-04,0.652,
2002-05,0.690,
2002-06,0.768,
2002-07,0.771,
2002-08,0.745,
2002-09,0.902,
2002-10,0.913,
2002-11,0.915,
2002-12,0.774,
2003-01,0.938,
2003-02,0.760,
2003-03,0.772,
2003-04,0.768,
2003-05,0.692,
2003-06,0.693,
2003-07,0.552,
2003-08,0.552,
2003-09,0.504,
2003-10,0.513,
2003-11,0.547,
2003-12,0.549,
2004-01,0.548,
2004-02,0.563,
2004-03,0.559,
2004-04,0.584,
2004-05,0.596,
2004-06,0.626,
2004-07,0.645,
2004-08,0.634,
2004-09,0.629,
2004-10,0.683,
2004-11,0.634,
2004-12,0.657,
2005-01,0.638,
2005-02,0.663,
2005-03,0.692,
2005-04,0.646,
2005-05,0.670,
2005-06,0.703,
2005-07,0.707,
2005-08,0.733,
2005-09,0.748,
2005-10,0.781,
2005-11,0.780,
2005-12,0.821,
2006-01,0.798,
2006-02,0.887,
2006-03,0.892,
2006-04,0.913,
2006-05,0.909,
2006-06,0.952,
2006-07,0.996,
2006-08,0.998,
2006-09,1.019,
2006-10,1.053,
2006-11,1.076,
2006-12,1.158,
2007-01,1.135,
2007-02,1.213,
2007-03,1.290,
2007-04,1.289,
2007-05,1.255,
2007-06,1.248,
2007-07,1.274,
2007-08,1.344,
2007-09,1.271,
2007-10,1.307,
2007-11,1.287,
2007-12,1.309,
2008-01,1.308,
2008-02,1.361,
2008-03,1.440,
2008-04,1.468,
2008-05,1.505,
2008-06,1.575,
2008-07,1.564,
2008-08,1.694,
2008-09,1.768,
2008-10,1.897,
2008-11,1.929,
2008-12,1.933,
2009-01,1.945,
2009-02,1.943,
2009-03,1.963,
2009-04,1.935,
2009-05,2.011,
2009-06,2.102,
2009-07,2.124,
2009-08,1.954,
2009-09,2.031,
2009-10,1.956,
2009-11,1.905,
2009-12,2.239,
2010-01,2.209,
2010-02,2.264,
2010-03,2.388,
2010-04,2.393,
2010-05,2.500,
2010-06,2.531,
2010-07,2.624,
2010-08,2.687,
2010-09,2.632,
2010-10,2.783,
2010-11,2.729,
2010-12,2.843,
2011-01,2.758,
2011-02,2.789,
2011-03,2.831,
2011-04,2.826,
2011-05,2.917,
2011-06,3.000,
2011-07,2.966,
2011-08,2.952,
2011-09,3.017,
2011-10,3.044,
2011-11,3.115,
2011-12,3.119,
2012-01,3.102,
2012-02,3.130,
2012-03,3.177,
2012-04,3.261,
2012-05,3.320,
2012-06,3.233,
2012-07,3.221,
2012-08,3.160,
2012-09,3.385,
2012-10,3.261,
2012-11,3.137,
2012-12,3.189,
2013-01,3.090,
2013-02,3.122,
2013-03,3.233,
2013-04,2.812,
2013-05,2.807,
2013-06,2.890,
2013-07,2.297,
2013-08,2.360,
2013-09,2.816,
2013-10,2.821,
2013-11,2.800,
2013-12,2.864,
2014-01,2.840,
2014-02,2.927,
2014-03,2.903,
2014-04,2.940,
2014-05,2.937,
2014-06,2.970,
2014-07,2.932,
2014-08,2.969,
2014-09,2.670,
2014-10,2.604,
2014-11,2.700,
2014-12,2.604,
