"",BBK01.OECB08H,BBK01.OECB08H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:53,
2002-01,142.712,
2002-04,141.856,
2002-07,140.886,
2002-10,140.080,
2003-01,138.579,
2003-04,136.997,
2003-07,133.921,
2003-10,131.298,
2004-01,128.876,
2004-04,127.313,
2004-07,125.455,
2004-10,123.116,
2005-01,125.339,
2005-04,123.070,
2005-07,121.523,
2005-10,119.044,
2006-01,116.177,
2006-04,113.915,
2006-07,112.443,
2006-10,109.722,
2007-01,106.174,
2007-04,104.073,
2007-07,101.285,
2007-10,98.894,
2008-01,96.194,
2008-04,94.221,
2008-07,92.001,
2008-10,89.328,
2009-01,86.728,
2009-04,56.013,
2009-07,54.501,
2009-10,53.185,
2010-01,51.885,
2010-04,50.885,
2010-07,48.909,
2010-10,49.421,
2011-01,47.043,
2011-04,46.291,
2011-07,45.976,
2011-10,45.314,
2012-01,45.130,
2012-04,44.623,
2012-07,44.156,
2012-10,43.679,
2013-01,43.610,
2013-04,43.655,
2013-07,43.161,
2013-10,42.750,
2014-01,42.209,
2014-04,42.256,
2014-07,42.750,
