"",BBK01.OXA8F4,BBK01.OXA8F4_FLAGS
"",Medium-term loans (including bills of exchange) to domestic households - Other loans,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:14:55,
2002-12,23.703,
2003-01,24.458,
2003-02,25.172,
2003-03,23.882,
2003-04,23.962,
2003-05,23.724,
2003-06,24.576,
2003-07,24.888,
2003-08,26.614,
2003-09,27.827,
2003-10,27.577,
2003-11,27.488,
2003-12,26.940,
2004-01,26.623,
2004-02,26.449,
2004-03,26.191,
2004-04,26.605,
2004-05,26.737,
2004-06,26.499,
2004-07,26.788,
2004-08,26.827,
2004-09,26.476,
2004-10,26.995,
2004-11,26.583,
2004-12,26.119,
2005-01,25.817,
2005-02,25.728,
2005-03,25.680,
2005-04,27.030,
2005-05,27.187,
2005-06,27.127,
2005-07,27.225,
2005-08,27.289,
2005-09,26.872,
2005-10,26.605,
2005-11,26.786,
2005-12,27.192,
2006-01,27.049,
2006-02,26.856,
2006-03,26.695,
2006-04,26.042,
2006-05,26.209,
2006-06,26.097,
2006-07,26.004,
2006-08,26.147,
2006-09,26.127,
2006-10,26.062,
2006-11,26.121,
2006-12,25.456,
2007-01,25.342,
2007-02,25.214,
2007-03,25.201,
2007-04,24.891,
2007-05,24.950,
2007-06,25.069,
2007-07,25.214,
2007-08,25.313,
2007-09,24.904,
2007-10,24.767,
2007-11,24.814,
2007-12,24.744,
2008-01,24.711,
2008-02,24.335,
2008-03,24.248,
2008-04,24.273,
2008-05,24.111,
2008-06,24.240,
2008-07,24.227,
2008-08,24.216,
2008-09,23.788,
2008-10,23.736,
2008-11,23.570,
2008-12,23.529,
2009-01,23.099,
2009-02,22.866,
2009-03,22.852,
2009-04,22.997,
2009-05,22.987,
2009-06,23.037,
2009-07,23.215,
2009-08,23.305,
2009-09,23.253,
2009-10,23.271,
2009-11,23.316,
2009-12,23.508,
2010-01,23.308,
2010-02,23.211,
2010-03,23.362,
2010-04,22.319,
2010-05,22.351,
2010-06,20.206,
2010-07,20.241,
2010-08,20.202,
2010-09,20.146,
2010-10,20.199,
2010-11,20.277,
2010-12,20.003,
2011-01,19.968,
2011-02,19.877,
2011-03,19.906,
2011-04,19.728,
2011-05,19.912,
2011-06,19.821,
2011-07,20.012,
2011-08,22.338,
2011-09,22.310,
2011-10,22.341,
2011-11,22.456,
2011-12,22.407,
2012-01,22.418,
2012-02,22.462,
2012-03,22.625,
2012-04,22.723,
2012-05,23.064,
2012-06,23.032,
2012-07,22.960,
2012-08,23.074,
2012-09,22.938,
2012-10,23.034,
2012-11,23.132,
2012-12,23.011,
2013-01,22.982,
2013-02,23.018,
2013-03,22.911,
2013-04,23.049,
2013-05,23.063,
2013-06,22.773,
2013-07,22.984,
2013-08,23.069,
2013-09,23.003,
2013-10,22.906,
2013-11,23.004,
2013-12,22.758,
2014-01,22.778,
2014-02,22.730,
2014-03,22.600,
2014-04,22.734,
2014-05,22.850,
2014-06,22.708,
2014-07,22.840,
2014-08,22.979,
2014-09,22.886,
2014-10,22.921,
2014-11,22.925,
2014-12,22.853,Provisional value
