"",BBK01.OEBL09V,BBK01.OEBL09V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:09,
2002-01,0.629,
2002-04,0.594,
2002-07,0.611,
2002-10,0.587,
2003-01,0.536,
2003-04,0.485,
2003-07,0.447,
2003-10,0.423,
2004-01,0.408,
2004-04,0.379,
2004-07,0.353,
2004-10,0.344,
2005-01,0.367,
2005-04,0.343,
2005-07,0.277,
2005-10,0.272,
2006-01,0.271,
2006-04,0.298,
2006-07,0.322,
2006-10,0.374,
2007-01,0.575,
2007-04,0.653,
2007-07,0.742,
2007-10,0.901,
2008-01,0.980,
2008-04,1.040,
2008-07,1.110,
2008-10,1.489,
2009-01,1.430,
2009-04,1.383,
2009-07,1.365,
2009-10,1.151,
2010-01,0.972,
2010-04,0.933,
2010-07,0.910,
2010-10,1.084,
2011-01,1.233,
2011-04,1.270,
2011-07,1.281,
2011-10,1.257,
2012-01,1.187,
2012-04,1.185,
2012-07,1.119,
2012-10,0.974,
2013-01,0.832,
2013-04,0.734,
2013-07,0.690,
2013-10,0.644,
2014-01,0.614,
2014-04,0.604,
2014-07,0.707,
