"",BBSF2.M.1.S.I0011.DAC01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0011.DAC01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds-of-funds / Sales receipts / Non-financial corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:54:38,
2009-09,1,
2009-10,9,
2009-11,1,
2009-12,1,
2010-01,28,
2010-02,30,
2010-03,3,
2010-04,1,
2010-05,1,
2010-06,1,
2010-07,1,
2010-08,3437,
2010-09,23,
2010-10,7,
2010-11,1,
2010-12,91,
2011-01,256,
2011-02,1,
2011-03,4,
2011-04,1,
2011-05,1,
2011-06,243,
2011-07,1,
2011-08,1,
2011-09,69,
2011-10,1,
2011-11,6,
2011-12,355,
2012-01,36,
2012-02,1,
2012-03,115,
2012-04,1,
2012-05,1,
2012-06,1,
2012-07,16,
2012-08,1,
2012-09,1,
2012-10,1,
2012-11,7,
2012-12,172,
2013-01,34,
2013-02,2,
2013-03,106,
2013-04,2,
2013-05,2,
2013-06,202,
2013-07,2,
2013-08,2,
2013-09,102,
2013-10,9,
2013-11,2,
2013-12,543,
2014-01,36,
2014-02,4,
2014-03,216,
2014-04,2,
2014-05,11,
2014-06,140,
2014-07,2,
2014-08,53,
2014-09,15,
2014-10,15,
2014-11,37,
