"",BBSF2.M.1.P.00000.TOT01.I.F.WPS.CH.00000.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.WPS.CH.00000.000000.Z01.00_FLAGS
"",Public funds / Funds total / Securities total / Switzerland,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:39,
2009-09,5163,
2009-10,4987,
2009-11,5040,
2009-12,5233,
2010-01,5252,
2010-02,5264,
2010-03,5557,
2010-04,5351,
2010-05,4882,
2010-06,5058,
2010-07,4911,
2010-08,5041,
2010-09,5081,
2010-10,5122,
2010-11,5458,
2010-12,5891,
2011-01,5552,
2011-02,5425,
2011-03,5230,
2011-04,5522,
2011-05,5870,
2011-06,5586,
2011-07,5568,
2011-08,4949,
2011-09,4799,
2011-10,5652,
2011-11,4917,
2011-12,5226,
2012-01,5332,
2012-02,5414,
2012-03,5520,
2012-04,5398,
2012-05,5146,
2012-06,5225,
2012-07,5543,
2012-08,5525,
2012-09,5493,
2012-10,5506,
2012-11,5666,
2012-12,5780,
2013-01,6050,
2013-02,6283,
2013-03,6527,
2013-04,6492,
2013-05,6297,
2013-06,6252,
2013-07,6478,
2013-08,6514,
2013-09,6806,
2013-10,7091,
2013-11,7064,
2013-12,7213,
2014-01,7205,
2014-02,7595,
2014-03,7533,
2014-04,7591,
2014-05,7923,
2014-06,7816,
2014-07,7806,
2014-08,8074,
2014-09,8150,
2014-10,8206,
2014-11,8475,
