"",BBDR1.Q.DE.N.HYP.HGSINDEX.H.I10.A,BBDR1.Q.DE.N.HYP.HGSINDEX.H.I10.A_FLAGS
"",,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-16 14:35:40,
2005-07,101.3,
2005-10,100.2,
2006-01,101.7,
2006-04,102.0,
2006-07,100.9,
2006-10,100.5,
2007-01,100.8,
2007-04,100.5,
2007-07,98.6,
2007-10,97.5,
2008-01,98.3,
2008-04,99.6,
2008-07,100.4,
2008-10,99.7,
2009-01,97.6,
2009-04,96.8,
2009-07,97.6,
2009-10,97.8,
2010-01,97.8,
2010-04,99.5,
2010-07,101.3,
2010-10,101.3,
2011-01,101.5,
2011-04,101.6,
2011-07,104.5,
2011-10,106.1,
2012-01,107.7,
2012-04,107.6,
2012-07,108.1,
2012-10,111.0,
2013-01,110.6,
2013-04,113.9,
2013-07,116.7,
2013-10,114.5,
2014-01,114.2,
2014-04,116.6,
2014-07,118.6,
2014-10,118.8,
