"",BBSF2.M.1.S.00000.IMM01.I.F.UBS.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.IMM01.I.F.UBS.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Real estate funds / Properties,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:43,
2009-09,349,
2009-10,320,
2009-11,312,
2009-12,315,
2010-01,163,
2010-02,158,
2010-03,159,
2010-04,173,
2010-05,192,
2010-06,190,
2010-07,170,
2010-08,175,
2010-09,160,
2010-10,146,
2010-11,140,
2010-12,111,
2011-01,113,
2011-02,115,
2011-03,239,
2011-04,138,
2011-05,150,
2011-06,148,
2011-07,165,
2011-08,131,
2011-09,169,
2011-10,121,
2011-11,132,
2011-12,134,
2012-01,140,
2012-02,137,
2012-03,82,
2012-04,83,
2012-05,85,
2012-06,60,
2012-07,50,
2012-08,50,
2012-09,52,
2012-10,33,
2012-11,42,
2012-12,67,
2013-01,62,
2013-02,59,
2013-03,67,
2013-04,168,
2013-05,179,
2013-06,186,
2013-07,212,
2013-08,212,
2013-09,210,
2013-10,211,
2013-11,650,
2013-12,707,
2014-01,815,
2014-02,823,
2014-03,875,
2014-04,884,
2014-05,891,
2014-06,894,
2014-07,994,
2014-08,1045,
2014-09,1055,
2014-10,1076,
2014-11,72,
