"",BBK01.OECB19L,BBK01.OECB19L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:31,
2002-01,0.513,
2002-04,0.489,
2002-07,0.465,
2002-10,0.457,
2003-01,0.457,
2003-04,0.444,
2003-07,0.428,
2003-10,0.413,
2004-01,0.373,
2004-04,0.312,
2004-07,0.312,
2004-10,0.319,
2005-01,0.339,
2005-04,0.338,
2005-07,0.345,
2005-10,0.410,
2006-01,0.405,
2006-04,0.397,
2006-07,0.409,
2006-10,0.321,
2007-01,0.304,
2007-04,0.301,
2007-07,0.303,
2007-10,0.296,
2008-01,0.336,
2008-04,0.328,
2008-07,0.322,
2008-10,0.312,
2009-01,0.246,
2009-04,0.235,
2009-07,0.319,
2009-10,0.313,
2010-01,0.322,
2010-04,0.296,
2010-07,0.334,
2010-10,0.336,
2011-01,0.315,
2011-04,0.305,
2011-07,0.331,
2011-10,0.326,
2012-01,0.330,
2012-04,0.328,
2012-07,0.328,
2012-10,0.343,
2013-01,0.334,
2013-04,0.338,
2013-07,0.325,
2013-10,0.324,
2014-01,0.307,
2014-04,0.288,
2014-07,0.293,
