"",BBEX3.M.MAD.USD.CA.AB.A01,BBEX3.M.MAD.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Morocco  / USD 1 = MAD ... (selling),
unit,MAD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:04,
1967-01,5.0814,
1967-02,5.0793,
1967-03,5.0824,
1967-04,5.0711,
1967-05,5.0475,
1967-06,5.0382,
1967-07,5.0352,
1967-08,5.0372,
1967-09,5.0372,
1967-10,5.0352,
1967-11,5.0354,
1967-12,5.0429,
1968-01,5.0511,
1968-02,5.0544,
1968-03,5.0485,
1968-04,5.0663,
1968-05,5.0731,
1968-06,5.1045,
1968-07,5.1045,
1968-08,5.1045,
1968-09,5.1045,
1968-10,5.1045,
1968-11,5.0870,
1968-12,5.0819,
1969-01,5.0844,
1969-02,5.0824,
1969-03,5.0880,
1969-04,5.1052,
1969-05,.,No value available
1969-06,5.0998,
1969-07,5.1039,
1969-08,5.0568,
1969-09,5.0856,
1969-10,5.0888,
1969-11,5.0838,
1969-12,5.0716,
1970-01,5.0582,
1970-02,5.0596,
1970-03,5.0564,
1970-04,5.0391,
1970-05,5.0368,
1970-06,5.0368,
1970-07,5.0345,
1970-08,5.0345,
1970-09,5.0400,
1970-10,5.0400,
1970-11,5.0345,
1970-12,5.0363,
1971-01,5.0331,
1971-02,5.0354,
1971-03,5.0322,
1971-04,5.0322,
1971-05,5.0509,
1971-06,5.0336,
1971-07,5.0318,
1971-08,5.0322,
1971-09,5.0464,
1971-10,5.0514,
1971-11,5.0306,
1971-12,4.7681,
1972-01,4.6809,
1972-02,4.6275,
1972-03,4.5906,
1972-04,4.5924,
1972-05,4.5653,
1972-06,4.5650,
1972-07,4.5641,
1972-08,4.5646,
1972-09,4.5751,
1972-10,4.6015,
1972-11,4.6111,
1972-12,4.6764,
1973-01,4.5878,
1973-02,4.1357,
1973-03,4.1471,
1973-04,4.1709,
1973-05,4.0961,
1973-06,3.9130,
1973-07,3.8963,
1973-08,3.9988,
1973-09,3.9616,
1973-10,3.9635,
1973-11,4.1343,
1973-12,4.2996,
1974-01,4.5785,
1974-02,4.4263,
1974-03,4.3507,
1974-04,4.3466,
1974-05,4.3899,
1974-06,4.3666,
1974-07,4.3239,
1974-08,4.4092,
1974-09,4.3715,
1974-10,4.3344,
1974-11,4.2760,
1974-12,4.1657,
1975-01,4.0889,
1975-02,3.9854,
1975-03,4.0327,
1975-04,3.9984,
