"",BBK01.OEAE01K,BBK01.OEAE01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:49,
2002-01,39.652,
2002-04,40.193,
2002-07,40.349,
2002-10,41.761,
2003-01,40.590,
2003-04,39.320,
2003-07,39.351,
2003-10,39.523,
2004-01,38.468,
2004-04,43.261,
2004-07,43.598,
2004-10,42.942,
2005-01,42.172,
2005-04,41.730,
2005-07,41.213,
2005-10,41.990,
2006-01,40.743,
2006-04,41.054,
2006-07,41.068,
2006-10,40.659,
2007-01,37.916,
2007-04,37.150,
2007-07,37.647,
2007-10,36.958,
2008-01,39.065,
2008-04,40.000,
2008-07,40.440,
2008-10,39.749,
2009-01,39.091,
2009-04,41.287,
2009-07,40.432,
2009-10,40.801,
2010-01,39.527,
2010-04,39.914,
2010-07,41.139,
2010-10,42.013,
2011-01,42.517,
2011-04,42.709,
2011-07,44.144,
2011-10,44.341,
2012-01,44.752,
2012-04,45.947,
2012-07,47.212,
2012-10,47.921,
2013-01,47.838,
2013-04,48.184,
2013-07,49.067,
2013-10,48.857,
2014-01,49.609,
2014-04,50.579,
2014-07,49.889,
