"",BBK01.OEAC05J,BBK01.OEAC05J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:58,
2002-01,2.304,
2002-04,2.271,
2002-07,2.406,
2002-10,2.283,
2003-01,2.223,
2003-04,2.241,
2003-07,1.951,
2003-10,1.927,
2004-01,2.198,
2004-04,2.235,
2004-07,2.129,
2004-10,1.826,
2005-01,1.931,
2005-04,1.881,
2005-07,1.950,
2005-10,1.857,
2006-01,1.966,
2006-04,1.946,
2006-07,1.913,
2006-10,1.841,
2007-01,1.950,
2007-04,1.933,
2007-07,1.890,
2007-10,1.967,
2008-01,1.930,
2008-04,2.012,
2008-07,1.986,
2008-10,1.953,
2009-01,1.993,
2009-04,1.911,
2009-07,1.765,
2009-10,1.722,
2010-01,1.568,
2010-04,1.835,
2010-07,1.765,
2010-10,1.778,
2011-01,1.849,
2011-04,1.810,
2011-07,1.787,
2011-10,1.840,
2012-01,1.872,
2012-04,1.923,
2012-07,2.097,
2012-10,2.236,
2013-01,2.216,
2013-04,2.184,
2013-07,2.299,
2013-10,2.155,
2014-01,2.010,
2014-04,2.016,
2014-07,1.926,
