"",BBK01.OECB22K,BBK01.OECB22K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:25,
2002-01,0.007,
2002-04,0.016,
2002-07,0.006,
2002-10,0.015,
2003-01,0.019,
2003-04,0.009,
2003-07,0.011,
2003-10,0.146,
2004-01,0.112,
2004-04,0.114,
2004-07,0.102,
2004-10,0.079,
2005-01,0.077,
2005-04,0.076,
2005-07,0.078,
2005-10,0.004,
2006-01,0.020,
2006-04,0.061,
2006-07,0.149,
2006-10,0.002,
2007-01,0.022,
2007-04,0.012,
2007-07,0.028,
2007-10,0.006,
2008-01,0.005,
2008-04,-,Nothing exists
2008-07,-,Nothing exists
2008-10,0.005,
2009-01,0.007,
2009-04,-,Nothing exists
2009-07,-,Nothing exists
2009-10,0.004,
2010-01,0.012,
2010-04,0.005,
2010-07,0.003,
2010-10,0.004,
2011-01,0.003,
2011-04,0.009,
2011-07,-,Nothing exists
2011-10,0.001,
2012-01,0.002,
2012-04,0.002,
2012-07,0.001,
2012-10,0.002,
2013-01,0.002,
2013-04,0.008,
2013-07,0.006,
2013-10,0.074,
2014-01,0.152,
2014-04,0.144,
2014-07,0.137,
