"",BBK01.OEHB17M,BBK01.OEHB17M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:02,
2002-01,28.149,
2002-04,28.418,
2002-07,28.714,
2002-10,28.907,
2003-01,30.179,
2003-04,30.468,
2003-07,30.917,
2003-10,31.209,
2004-01,31.077,
2004-04,31.225,
2004-07,31.405,
2004-10,31.496,
2005-01,30.689,
2005-04,30.846,
2005-07,31.138,
2005-10,31.276,
2006-01,31.139,
2006-04,31.205,
2006-07,31.278,
2006-10,31.219,
2007-01,30.995,
2007-04,30.841,
2007-07,30.727,
2007-10,30.508,
2008-01,30.272,
2008-04,30.305,
2008-07,30.284,
2008-10,30.122,
2009-01,29.902,
2009-04,29.854,
2009-07,30.215,
2009-10,30.234,
2010-01,30.086,
2010-04,30.255,
2010-07,30.468,
2010-10,30.635,
2011-01,30.592,
2011-04,30.709,
2011-07,30.881,
2011-10,30.928,
2012-01,30.821,
2012-04,30.935,
2012-07,31.118,
2012-10,31.159,
2013-01,31.102,
2013-04,31.255,
2013-07,31.545,
2013-10,31.613,
2014-01,31.555,
2014-04,31.676,
2014-07,31.843,
