"",BBK01.OEAE27H,BBK01.OEAE27H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:13,
2002-01,1.276,
2002-04,1.414,
2002-07,1.265,
2002-10,1.215,
2003-01,1.248,
2003-04,1.281,
2003-07,1.226,
2003-10,1.173,
2004-01,1.154,
2004-04,1.368,
2004-07,1.270,
2004-10,1.214,
2005-01,1.178,
2005-04,1.107,
2005-07,1.123,
2005-10,1.192,
2006-01,0.947,
2006-04,0.920,
2006-07,0.935,
2006-10,0.916,
2007-01,0.975,
2007-04,1.001,
2007-07,1.018,
2007-10,1.126,
2008-01,1.088,
2008-04,1.100,
2008-07,1.274,
2008-10,1.862,
2009-01,1.807,
2009-04,0.897,
2009-07,0.877,
2009-10,0.810,
2010-01,0.774,
2010-04,0.843,
2010-07,0.875,
2010-10,0.988,
2011-01,0.873,
2011-04,0.844,
2011-07,1.398,
2011-10,1.768,
2012-01,1.868,
2012-04,2.080,
2012-07,2.222,
2012-10,2.333,
2013-01,2.418,
2013-04,2.254,
2013-07,2.389,
2013-10,2.515,
2014-01,2.551,
2014-04,2.573,
2014-07,2.619,
