"",BBK01.OEBB16M,BBK01.OEBB16M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:31,
2002-01,4.461,
2002-04,4.436,
2002-07,4.425,
2002-10,4.369,
2003-01,4.291,
2003-04,4.268,
2003-07,4.218,
2003-10,4.160,
2004-01,4.124,
2004-04,4.118,
2004-07,4.101,
2004-10,4.050,
2005-01,4.133,
2005-04,4.283,
2005-07,4.267,
2005-10,4.249,
2006-01,4.234,
2006-04,4.260,
2006-07,4.211,
2006-10,4.195,
2007-01,4.446,
2007-04,4.272,
2007-07,4.322,
2007-10,4.348,
2008-01,4.318,
2008-04,4.342,
2008-07,4.271,
2008-10,4.238,
2009-01,4.214,
2009-04,4.634,
2009-07,4.544,
2009-10,4.513,
2010-01,4.507,
2010-04,4.523,
2010-07,4.654,
2010-10,4.621,
2011-01,4.496,
2011-04,4.475,
2011-07,4.448,
2011-10,4.429,
2012-01,4.364,
2012-04,4.313,
2012-07,4.317,
2012-10,4.298,
2013-01,4.263,
2013-04,4.316,
2013-07,4.275,
2013-10,4.249,
2014-01,4.186,
2014-04,4.116,
2014-07,4.102,
