"",BBK01.OEHB21N,BBK01.OEHB21N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:15,
2002-01,5.773,
2002-04,6.114,
2002-07,5.862,
2002-10,6.268,
2003-01,6.777,
2003-04,7.185,
2003-07,6.739,
2003-10,7.342,
2004-01,7.489,
2004-04,7.081,
2004-07,7.416,
2004-10,7.761,
2005-01,7.744,
2005-04,7.898,
2005-07,7.554,
2005-10,7.980,
2006-01,8.060,
2006-04,8.089,
2006-07,7.985,
2006-10,8.198,
2007-01,8.047,
2007-04,8.341,
2007-07,8.518,
2007-10,8.305,
2008-01,7.784,
2008-04,7.986,
2008-07,7.465,
2008-10,8.626,
2009-01,8.650,
2009-04,8.808,
2009-07,9.510,
2009-10,9.697,
2010-01,10.270,
2010-04,10.739,
2010-07,11.102,
2010-10,10.850,
2011-01,11.283,
2011-04,11.661,
2011-07,11.893,
2011-10,12.466,
2012-01,11.884,
2012-04,11.627,
2012-07,11.170,
2012-10,11.892,
2013-01,12.333,
2013-04,12.134,
2013-07,12.245,
2013-10,12.515,
2014-01,12.526,
2014-04,12.452,
2014-07,12.402,
