"",BBK01.OEAN03J,BBK01.OEAN03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:53,
2002-01,1.234,
2002-04,1.175,
2002-07,1.165,
2002-10,1.218,
2003-01,1.200,
2003-04,1.233,
2003-07,1.136,
2003-10,0.939,
2004-01,0.931,
2004-04,0.880,
2004-07,0.877,
2004-10,0.849,
2005-01,0.856,
2005-04,0.835,
2005-07,0.847,
2005-10,0.819,
2006-01,0.794,
2006-04,0.781,
2006-07,0.775,
2006-10,0.769,
2007-01,0.738,
2007-04,0.733,
2007-07,0.700,
2007-10,0.727,
2008-01,0.844,
2008-04,0.820,
2008-07,0.781,
2008-10,0.831,
2009-01,0.954,
2009-04,0.982,
2009-07,0.964,
2009-10,1.027,
2010-01,1.024,
2010-04,1.028,
2010-07,1.057,
2010-10,1.089,
2011-01,1.079,
2011-04,1.102,
2011-07,1.087,
2011-10,1.125,
2012-01,1.103,
2012-04,1.115,
2012-07,1.138,
2012-10,1.188,
2013-01,1.240,
2013-04,1.272,
2013-07,1.290,
2013-10,1.332,
2014-01,1.248,
2014-04,1.260,
2014-07,1.391,
