"",BBK01.OELL09Q,BBK01.OELL09Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:36,
2002-01,1.001,
2002-04,1.000,
2002-07,1.006,
2002-10,1.018,
2003-01,0.990,
2003-04,1.007,
2003-07,0.999,
2003-10,1.004,
2004-01,0.953,
2004-04,0.906,
2004-07,0.904,
2004-10,0.867,
2005-01,0.879,
2005-04,0.860,
2005-07,0.718,
2005-10,0.680,
2006-01,0.642,
2006-04,0.612,
2006-07,0.598,
2006-10,0.589,
2007-01,0.526,
2007-04,0.509,
2007-07,0.493,
2007-10,0.466,
2008-01,0.448,
2008-04,0.407,
2008-07,0.369,
2008-10,0.365,
2009-01,0.393,
2009-04,0.437,
2009-07,0.516,
2009-10,0.588,
2010-01,0.622,
2010-04,0.629,
2010-07,0.566,
2010-10,0.486,
2011-01,0.392,
2011-04,0.371,
2011-07,0.366,
2011-10,0.326,
2012-01,0.379,
2012-04,0.392,
2012-07,0.408,
2012-10,0.426,
2013-01,0.435,
2013-04,0.442,
2013-07,0.425,
2013-10,0.416,
2014-01,0.426,
2014-04,0.446,
2014-07,0.433,
