"",BBK01.QUV663,BBK01.QUV663_FLAGS
"",Banks in Germany: Short-term loans and advances to foreign banks / Croatia / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:12:41,
2001-12,0.075,
2002-01,0.091,
2002-02,0.081,
2002-03,0.067,
2002-04,0.072,
2002-05,0.075,
2002-06,0.083,
2002-07,0.106,
2002-08,0.022,
2002-09,0.063,
2002-10,0.168,
2002-11,0.181,
2002-12,0.358,
2003-01,0.397,
2003-02,0.250,
2003-03,0.283,
2003-04,0.307,
2003-05,0.294,
2003-06,0.327,
2003-07,0.110,
2003-08,0.133,
2003-09,0.157,
2003-10,0.200,
2003-11,0.502,
2003-12,0.321,
2004-01,0.500,
2004-02,0.572,
2004-03,0.515,
2004-04,0.499,
2004-05,0.522,
2004-06,0.626,
2004-07,0.251,
2004-08,0.163,
2004-09,0.148,
2004-10,0.196,
2004-11,0.199,
2004-12,0.180,
2005-01,0.342,
2005-02,0.201,
2005-03,0.300,
2005-04,0.234,
2005-05,0.237,
2005-06,0.356,
2005-07,0.367,
2005-08,0.488,
2005-09,0.394,
2005-10,0.442,
2005-11,0.456,
2005-12,0.542,
2006-01,0.551,
2006-02,0.712,
2006-03,0.548,
2006-04,0.637,
2006-05,0.673,
2006-06,0.666,
2006-07,0.391,
2006-08,0.158,
2006-09,0.194,
2006-10,0.294,
2006-11,0.301,
2006-12,0.505,
2007-01,0.512,
2007-02,0.569,
2007-03,0.535,
2007-04,0.408,
2007-05,0.393,
2007-06,0.287,
2007-07,0.279,
2007-08,0.134,
2007-09,0.233,
2007-10,0.313,
2007-11,0.267,
2007-12,0.477,
2008-01,0.471,
2008-02,0.519,
2008-03,0.525,
2008-04,0.509,
2008-05,0.467,
2008-06,0.487,
2008-07,0.478,
2008-08,0.316,
2008-09,0.219,
2008-10,0.317,
2008-11,0.355,
2008-12,0.410,
2009-01,0.449,
2009-02,0.357,
2009-03,0.318,
2009-04,0.272,
2009-05,0.277,
2009-06,0.277,
2009-07,0.291,
2009-08,0.278,
2009-09,0.267,
2009-10,0.287,
2009-11,0.333,
2009-12,0.378,
2010-01,0.378,
2010-02,0.405,
2010-03,0.398,
2010-04,0.398,
2010-05,0.318,
2010-06,0.335,
2010-07,0.339,
2010-08,0.181,
2010-09,0.208,
2010-10,0.199,
2010-11,0.199,
2010-12,0.391,
2011-01,0.331,
2011-02,0.347,
2011-03,0.422,
2011-04,0.413,
2011-05,0.435,
2011-06,0.370,
2011-07,0.226,
2011-08,0.204,
2011-09,0.235,
2011-10,0.192,
2011-11,0.228,
2011-12,0.199,
2012-01,0.174,
2012-02,0.172,
2012-03,0.196,
2012-04,0.177,
2012-05,0.197,
2012-06,0.177,
2012-07,0.149,
2012-08,0.077,
2012-09,0.092,
2012-10,0.196,
2012-11,0.237,
2012-12,0.212,
2013-01,0.187,
2013-02,0.190,
2013-03,0.200,
2013-04,0.292,
2013-05,0.358,
2013-06,0.399,
2013-07,0.172,
2013-08,0.131,
2013-09,0.101,
2013-10,0.035,
2013-11,0.050,
2013-12,0.071,
2014-01,0.174,
2014-02,0.130,
2014-03,0.214,
2014-04,0.197,
2014-05,0.189,
2014-06,0.186,
2014-07,0.035,
2014-08,0.022,
2014-09,0.007,
2014-10,0.019,
2014-11,0.028,
2014-12,0.091,
