"",BBK01.OEAD27Q,BBK01.OEAD27Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:23,
2002-01,0.054,
2002-04,0.048,
2002-07,0.045,
2002-10,0.052,
2003-01,0.071,
2003-04,0.059,
2003-07,0.062,
2003-10,0.062,
2004-01,0.070,
2004-04,0.073,
2004-07,0.076,
2004-10,0.078,
2005-01,0.066,
2005-04,0.064,
2005-07,0.074,
2005-10,0.074,
2006-01,0.073,
2006-04,0.092,
2006-07,0.080,
2006-10,0.083,
2007-01,0.102,
2007-04,0.115,
2007-07,0.133,
2007-10,0.139,
2008-01,0.124,
2008-04,0.117,
2008-07,0.126,
2008-10,0.109,
2009-01,0.086,
2009-04,0.084,
2009-07,0.095,
2009-10,0.088,
2010-01,0.073,
2010-04,0.069,
2010-07,0.029,
2010-10,0.024,
2011-01,0.026,
2011-04,0.022,
2011-07,0.021,
2011-10,0.020,
2012-01,0.021,
2012-04,0.023,
2012-07,0.026,
2012-10,0.025,
2013-01,0.046,
2013-04,0.046,
2013-07,0.044,
2013-10,0.041,
2014-01,0.036,
2014-04,0.033,
2014-07,0.034,
