"",BBSF2.M.1.S.00000.REN01.I.F.ATU.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.REN01.I.F.ATU.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Number outstanding,
unit,Stück (hypothetically euro-based),
unit multiplier,thousand,
last update,2014-12-29 10:36:33,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,686026,
1993-05,693990,
1993-06,701265,
1993-07,722759,
1993-08,756407,
1993-09,766306,
1993-10,777925,
1993-11,789683,
1993-12,816471,
1994-01,828920,
1994-02,847042,
1994-03,866548,
1994-04,875324,
1994-05,880883,
1994-06,916174,
1994-07,930458,
1994-08,942979,
1994-09,950544,
1994-10,954962,
1994-11,973667,
1994-12,994908,
1995-01,999883,
1995-02,1012884,
1995-03,1040262,
1995-04,1043596,
1995-05,1045921,
1995-06,1043423,
1995-07,1063257,
1995-08,1062855,
1995-09,1069540,
1995-10,1075146,
1995-11,1074803,
1995-12,1114479,
1996-01,1145782,
1996-02,1161095,
1996-03,1176112,
1996-04,1187999,
1996-05,1198651,
1996-06,1209759,
1996-07,1221063,
1996-08,1227668,
1996-09,1224601,
1996-10,1249090,
1996-11,1259826,
1996-12,1290137,
1997-01,1318086,
1997-02,1335911,
1997-03,1364531,
1997-04,1392809,
1997-05,1398469,
1997-06,1430293,
1997-07,1436111,
1997-08,1455270,
1997-09,1450832,
1997-10,1430299,
1997-11,1438098,
1997-12,1500622,
1998-01,1519222,
1998-02,1544082,
1998-03,1557080,
1998-04,1568483,
1998-05,1600849,
1998-06,1617323,
1998-07,1641349,
1998-08,1670698,
1998-09,1675217,
1998-10,1700018,
1998-11,1697937,
1998-12,1890381,
1999-01,1927779,
1999-02,1950380,
1999-03,1951504,
1999-04,2001239,
1999-05,2043206,
1999-06,2025503,
1999-07,2008076,
1999-08,2023045,
1999-09,2025126,
1999-10,2034505,
1999-11,2063286,
1999-12,2186192,
2000-01,2202334,
2000-02,2227220,
2000-03,2168851,
2000-04,2199084,
2000-05,2217526,
2000-06,2213149,
2000-07,2221808,
2000-08,2235950,
2000-09,2237876,
2000-10,2241839,
2000-11,2226839,
2000-12,2274843,
2001-01,2315171,
2001-02,2317976,
2001-03,2317283,
2001-04,2277253,
2001-05,2241549,
2001-06,2271772,
2001-07,2296277,
2001-08,2295670,
2001-09,2304407,
2001-10,2308626,
2001-11,2307187,
2001-12,2431420,
2002-01,2435836,
2002-02,2454458,
2002-03,2448423,
2002-04,2456471,
2002-05,2482147,
2002-06,2460632,
2002-07,2444323,
2002-08,2476375,
2002-09,2486985,
2002-10,2497961,
2002-11,2475198,
2002-12,2495574,
2003-01,2531559,
2003-02,2555983,
2003-03,2537467,
2003-04,2540699,
2003-05,2534704,
2003-06,2546818,
2003-07,2536328,
2003-08,2548024,
2003-09,2549632,
2003-10,2500838,
2003-11,2511624,
2003-12,2467794,
2004-01,2446259,
2004-02,2426391,
2004-03,2423969,
2004-04,2435161,
2004-05,2388229,
2004-06,2391049,
2004-07,2390371,
2004-08,2380134,
2004-09,2372872,
2004-10,2381221,
2004-11,2404658,
2004-12,2466389,
2005-01,2486099,
2005-02,2487393,
2005-03,2477016,
2005-04,2474671,
2005-05,2498292,
2005-06,2496353,
2005-07,2517249,
2005-08,2514760,
2005-09,2508216,
2005-10,2506607,
2005-11,2496845,
2005-12,2507959,
2006-01,2477004,
2006-02,2467733,
2006-03,2474535,
2006-04,2478092,
2006-05,2487379,
2006-06,2492359,
2006-07,2472720,
2006-08,2479166,
2006-09,2581532,
2006-10,2597648,
2006-11,2600385,
2006-12,2580486,
2007-01,2634550,
2007-02,2665392,
2007-03,2684439,
2007-04,2745314,
2007-05,2693924,
2007-06,2626050,
2007-07,2637069,
2007-08,2644824,
2007-09,2651286,
2007-10,2651328,
2007-11,2585432,
2007-12,2685217,
2008-01,2687316,
2008-02,2693291,
2008-03,2694245,
2008-04,2705610,
2008-05,2710820,
2008-06,2672834,
2008-07,2664802,
2008-08,2671223,
2008-09,2700132,
2008-10,2685231,
2008-11,2707215,
2008-12,2751310,
2009-01,2777761,
2009-02,2782440,
2009-03,2812576,
2009-04,2805298,
2009-05,2949375,
2009-06,2956181,
2009-07,3080591,
2009-08,3079782,
2009-09,3104080,
2009-10,3073850,
2009-11,3110475,
2009-12,3214818,
2010-01,3280122,
2010-02,3310428,
2010-03,3330896,
2010-04,3377841,
2010-05,3389146,
2010-06,3392004,
2010-07,3390004,
2010-08,3480457,
2010-09,3543130,
2010-10,3593831,
2010-11,3625211,
2010-12,3644846,
2011-01,3673178,
2011-02,3770035,
2011-03,3778792,
2011-04,3734744,
2011-05,3712942,
2011-06,3723585,
2011-07,3722392,
2011-08,3729325,
2011-09,3728160,
2011-10,3748322,
2011-11,3759378,
2011-12,3832538,
2012-01,3876486,
2012-02,3897057,
2012-03,3947580,
2012-04,3954409,
2012-05,3993962,
2012-06,4039285,
2012-07,4063672,
2012-08,4096829,
2012-09,4104279,
2012-10,4128385,
2012-11,4139177,
2012-12,4186092,
2013-01,4223431,
2013-02,4215716,
2013-03,4228831,
2013-04,4239615,
2013-05,4243881,
2013-06,4237356,
2013-07,4245269,
2013-08,4251200,
2013-09,4263122,
2013-10,4289434,
2013-11,4370595,
2013-12,4408405,
2014-01,4461860,
2014-02,4500198,
2014-03,4569985,
2014-04,4498744,
2014-05,4511718,
2014-06,4519574,
2014-07,4536047,
2014-08,4561298,
2014-09,4572893,
2014-10,4625595,
2014-11,4661369,
