"",BBFB1.Q.N.DE.AU.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.AU.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / Australia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:45,
1991-01,58.565,
1991-04,70.644,
1991-07,63.959,
1991-10,55.796,
1992-01,54.431,
1992-04,59.743,
1992-07,57.163,
1992-10,62.885,
1993-01,65.549,
1993-04,70.151,
1993-07,64.037,
1993-10,55.398,
1994-01,43.379,
1994-04,40.718,
1994-07,39.412,
1994-10,43.172,
1995-01,43.117,
1995-04,48.719,
1995-07,35.810,
1995-10,25.481,
1996-01,25.546,
1996-04,16.064,
1996-07,14.236,
1996-10,16.611,
1997-01,8.917,
1997-04,8.478,
1997-07,7.586,
1997-10,7.139,
1998-01,14.605,
1998-04,10.079,
1998-07,16.304,
1998-10,16.509,
1999-01,-7.304,
1999-04,-6.510,
1999-07,-0.235,
1999-10,-41.473,
2000-01,32.551,
2000-04,35.719,
2000-07,34.907,
2000-10,33.795,
2001-01,34.036,
2001-04,30.240,
2001-07,27.184,
2001-10,28.234,
2002-01,25.199,
2002-04,28.637,
2002-07,28.615,
2002-10,25.414,
2003-01,26.207,
2003-04,30.667,
2003-07,21.901,
2003-10,28.383,
2004-01,33.102,
2004-04,43.228,
2004-07,54.914,
2004-10,69.090,
2005-01,86.808,
2005-04,98.920,
2005-07,109.154,
2005-10,117.838,
2006-01,142.320,
2006-04,158.000,
2006-07,172.761,
2006-10,180.574,
2007-01,206.552,
2007-04,212.055,
2007-07,194.279,
2007-10,177.714,
2008-01,99.648,
2008-04,184.969,
2008-07,193.209,
2008-10,163.928,
2009-01,172.832,
2009-04,300.665,
2009-07,216.129,
2009-10,259.144,
2010-01,364.422,
2010-04,387.471,
2010-07,405.856,
2010-10,405.789,
2011-01,377.686,
2011-04,411.495,
2011-07,419.385,
2011-10,428.659,
2012-01,426.523,
2012-04,440.071,
2012-07,436.532,
2012-10,428.165,
2013-01,436.839,
2013-04,453.070,
2013-07,404.999,
2013-10,409.815,
2014-01,388.123,Provisional value
2014-04,416.236,Provisional value
2014-07,365.232,Provisional value
