"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.US.00122.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.US.00122.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / United States / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:22,
2009-09,10792,
2009-10,9604,
2009-11,9578,
2009-12,9634,
2010-01,9810,
2010-02,9720,
2010-03,9903,
2010-04,9915,
2010-05,9261,
2010-06,9510,
2010-07,9120,
2010-08,9442,
2010-09,9310,
2010-10,9371,
2010-11,9332,
2010-12,9385,
2011-01,9561,
2011-02,9781,
2011-03,9615,
2011-04,9411,
2011-05,9705,
2011-06,9577,
2011-07,9319,
2011-08,8663,
2011-09,7873,
2011-10,6500,
2011-11,5986,
2011-12,5919,
2012-01,6028,
2012-02,7456,
2012-03,7498,
2012-04,6015,
2012-05,6010,
2012-06,6126,
2012-07,6211,
2012-08,5874,
2012-09,5883,
2012-10,5732,
2012-11,5764,
2012-12,5841,
2013-01,5938,
2013-02,5965,
2013-03,5841,
2013-04,7622,
2013-05,7304,
2013-06,7110,
2013-07,7403,
2013-08,7545,
2013-09,7505,
2013-10,7663,
2013-11,7889,
2013-12,7972,
2014-01,7933,
2014-02,7992,
2014-03,8131,
2014-04,8100,
2014-05,8464,
2014-06,8736,
2014-07,8817,
2014-08,9027,
2014-09,9474,
2014-10,9790,
2014-11,9837,
