"",BBFB1.M.N.DE.W1.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:52:36,
1991-01,3992.554,
1991-02,8935.615,
1991-03,5714.254,
1991-04,-1370.049,
1991-05,2133.106,
1991-06,8159.914,
1991-07,2890.744,
1991-08,6769.871,
1991-09,2634.773,
1991-10,12368.496,
1991-11,5452.315,
1991-12,2366.143,
1992-01,5339.102,
1992-02,3378.959,
1992-03,869.956,
1992-04,1317.330,
1992-05,2462.891,
1992-06,3134.392,
1992-07,4853.773,
1992-08,8028.669,
1992-09,34040.340,
1992-10,9516.245,
1992-11,6906.931,
1992-12,13578.108,
1993-01,13875.097,
1993-02,20316.100,
1993-03,14561.081,
1993-04,7499.997,
1993-05,11482.678,
1993-06,19621.147,
1993-07,14699.176,
1993-08,5457.854,
1993-09,8408.742,
1993-10,16955.512,
1993-11,9419.839,
1993-12,17143.232,
1994-01,17606.987,
1994-02,-1519.311,
1994-03,-3861.783,
1994-04,1169.523,
1994-05,5982.324,
1994-06,-3287.494,
1994-07,7392.959,
1994-08,9071.656,
1994-09,3818.860,
1994-10,11412.806,
1994-11,14817.231,
1994-12,15842.422,
1995-01,3224.393,
1995-02,15266.306,
1995-03,8927.516,
1995-04,10733.601,
1995-05,15009.050,
1995-06,13566.028,
1995-07,1032.235,
1995-08,16843.528,
1995-09,11503.947,
1995-10,6453.177,
1995-11,10070.440,
1995-12,8030.090,
1996-01,10218.987,
1996-02,12233.778,
1996-03,3662.701,
1996-04,11224.095,
1996-05,13118.549,
1996-06,3058.426,
1996-07,698.980,
1996-08,8151.680,
1996-09,7251.871,
1996-10,2285.841,
1996-11,31825.626,
1996-12,17806.359,
1997-01,28718.086,
1997-02,25168.929,
1997-03,22052.369,
1997-04,15256.836,
1997-05,4998.991,
1997-06,33029.449,
1997-07,11982.657,
1997-08,-1183.184,
1997-09,15188.828,
1997-10,23674.316,
1997-11,19415.489,
1997-12,8917.836,
1998-01,25484.452,
1998-02,30074.029,
1998-03,41806.036,
1998-04,19251.042,
1998-05,39546.438,
1998-06,24503.193,
1998-07,4573.146,
1998-08,18465.262,
1998-09,25513.199,
1998-10,16638.852,
1998-11,76557.572,
1998-12,-2138.222,
1999-01,79462.374,
1999-02,-14269.393,
1999-03,20991.980,
1999-04,39490.878,
1999-05,10466.875,
1999-06,35399.210,
1999-07,9276.577,
1999-08,35265.978,
