"",BBK01.OEAH49M,BBK01.OEAH49M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:55,
2002-01,0.054,
2002-04,0.049,
2002-07,0.047,
2002-10,0.049,
2003-01,0.046,
2003-04,0.046,
2003-07,0.048,
2003-10,0.049,
2004-01,0.047,
2004-04,0.052,
2004-07,0.062,
2004-10,0.063,
2005-01,0.074,
2005-04,0.062,
2005-07,0.052,
2005-10,0.052,
2006-01,0.052,
2006-04,0.054,
2006-07,0.053,
2006-10,0.054,
2007-01,0.054,
2007-04,0.056,
2007-07,0.068,
2007-10,0.068,
2008-01,0.070,
2008-04,0.069,
2008-07,0.069,
2008-10,0.076,
2009-01,0.079,
2009-04,0.089,
2009-07,0.098,
2009-10,0.103,
2010-01,0.106,
2010-04,0.108,
2010-07,0.109,
2010-10,0.111,
2011-01,0.113,
2011-04,0.114,
2011-07,0.113,
2011-10,0.109,
2012-01,0.108,
2012-04,0.104,
2012-07,0.102,
2012-10,0.092,
2013-01,0.088,
2013-04,0.111,
2013-07,0.107,
2013-10,0.108,
2014-01,0.113,
2014-04,0.110,
2014-07,0.107,
