"",BBK01.OEAL03Q,BBK01.OEAL03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:10,
2002-01,3.939,
2002-04,3.859,
2002-07,3.891,
2002-10,3.848,
2003-01,3.734,
2003-04,3.379,
2003-07,3.587,
2003-10,3.479,
2004-01,3.580,
2004-04,3.523,
2004-07,3.755,
2004-10,3.751,
2005-01,3.750,
2005-04,3.656,
2005-07,3.823,
2005-10,3.987,
2006-01,4.342,
2006-04,4.535,
2006-07,5.179,
2006-10,5.211,
2007-01,5.385,
2007-04,5.594,
2007-07,6.588,
2007-10,7.352,
2008-01,7.715,
2008-04,7.999,
2008-07,8.597,
2008-10,8.726,
2009-01,7.041,
2009-04,6.422,
2009-07,5.766,
2009-10,5.229,
2010-01,5.091,
2010-04,4.971,
2010-07,4.772,
2010-10,4.688,
2011-01,4.698,
2011-04,4.806,
2011-07,4.937,
2011-10,5.017,
2012-01,5.118,
2012-04,5.046,
2012-07,5.113,
2012-10,5.093,
2013-01,4.754,
2013-04,4.996,
2013-07,5.125,
2013-10,5.428,
2014-01,5.270,
2014-04,5.356,
2014-07,5.317,
