"",BBAI3.Q.DE.N.V.LE.F29AAB.S1252.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F29AAB.S1252.A1.S.1.N.E.Z_FLAGS
"",Assets / Pension undertakings / Deposits over 1 year and up to 2 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:42,
2005-10,247,
2006-01,286,
2006-04,295,
2006-07,327,
2006-10,385,
2007-01,434,
2007-04,477,
2007-07,461,
2007-10,520,
2008-01,500,
2008-04,751,
2008-07,865,
2008-10,727,
2009-01,713,
2009-04,690,
2009-07,619,
2009-10,627,
2010-01,596,
2010-04,452,
2010-07,369,
2010-10,393,
2011-01,434,
2011-04,393,
2011-07,423,
2011-10,438,
2012-01,385,
2012-04,420,
2012-07,437,
2012-10,397,
2013-01,398,
2013-04,480,
2013-07,437,
2013-10,449,
2014-01,383,
2014-04,388,
2014-07,498,
