"",BBK01.OEBM04H,BBK01.OEBM04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:36,
2002-01,2.208,
2002-04,2.090,
2002-07,2.208,
2002-10,1.549,
2003-01,1.727,
2003-04,1.773,
2003-07,1.424,
2003-10,1.172,
2004-01,1.548,
2004-04,1.294,
2004-07,1.235,
2004-10,0.969,
2005-01,1.386,
2005-04,1.087,
2005-07,1.289,
2005-10,1.828,
2006-01,1.454,
2006-04,1.761,
2006-07,2.811,
2006-10,3.934,
2007-01,3.701,
2007-04,4.738,
2007-07,6.959,
2007-10,9.965,
2008-01,7.023,
2008-04,8.227,
2008-07,8.296,
2008-10,9.657,
2009-01,7.504,
2009-04,6.310,
2009-07,3.763,
2009-10,1.688,
2010-01,3.225,
2010-04,1.894,
2010-07,4.467,
2010-10,5.217,
2011-01,4.882,
2011-04,8.404,
2011-07,4.870,
2011-10,4.615,
2012-01,6.064,
2012-04,8.891,
2012-07,6.831,
2012-10,5.625,
2013-01,7.640,
2013-04,8.631,
2013-07,8.549,
2013-10,8.537,
2014-01,9.780,
2014-04,9.908,
2014-07,9.055,
