"",BBK01.CEBE20,BBK01.CEBE20_FLAGS
"",short-term loans debtor: Domestic financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:41,
1991-01,29.2,
1991-04,32.0,
1991-07,32.3,
1991-10,31.8,
1992-01,32.6,
1992-04,34.8,
1992-07,36.6,
1992-10,37.7,
1993-01,38.6,
1993-04,40.5,
1993-07,40.7,
1993-10,41.0,
1994-01,42.9,
1994-04,44.9,
1994-07,45.4,
1994-10,45.5,
1995-01,48.1,
1995-04,48.9,
1995-07,48.1,
1995-10,50.2,
1996-01,54.8,
1996-04,57.3,
1996-07,55.8,
1996-10,63.5,
1997-01,69.9,
1997-04,76.1,
1997-07,71.3,
1997-10,76.6,
1998-01,81.9,
1998-04,89.2,
1998-07,83.3,
1998-10,83.4,
1999-01,94.6,
1999-04,107.7,
1999-07,97.2,
1999-10,104.6,
2000-01,140.8,
2000-04,158.6,
2000-07,153.4,
2000-10,151.0,
2001-01,169.5,
2001-04,164.4,
2001-07,168.3,
2001-10,155.9,
2002-01,152.3,
2002-04,148.3,
2002-07,151.6,
2002-10,149.6,
2003-01,171.4,
2003-04,170.9,
2003-07,175.3,
2003-10,168.2,
2004-01,180.8,
2004-04,171.1,
2004-07,169.3,
2004-10,167.2,
2005-01,160.8,
2005-04,163.0,
2005-07,188.1,
2005-10,181.0,
2006-01,210.8,
2006-04,220.9,
2006-07,224.6,
2006-10,202.1,
2007-01,224.5,
2007-04,241.4,
2007-07,242.1,
2007-10,219.6,
2008-01,254.5,
2008-04,263.5,
2008-07,256.6,
2008-10,259.6,
2009-01,279.3,
2009-04,288.6,
2009-07,273.9,
2009-10,292.1,
2010-01,263.3,
2010-04,299.5,
2010-07,300.8,
2010-10,302.5,
2011-01,306.7,
2011-04,353.3,
2011-07,402.5,
2011-10,376.2,
2012-01,405.1,
2012-04,442.4,
2012-07,427.0,
2012-10,413.3,
2013-01,450.1,
2013-04,503.7,
2013-07,267.7,
2013-10,246.2,
2014-01,263.1,
