"",BBK01.OECJ02J,BBK01.OECJ02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:18,
2002-01,0.453,
2002-04,0.406,
2002-07,0.413,
2002-10,0.489,
2003-01,0.402,
2003-04,0.446,
2003-07,0.458,
2003-10,0.529,
2004-01,0.527,
2004-04,0.512,
2004-07,0.579,
2004-10,0.586,
2005-01,0.691,
2005-04,0.630,
2005-07,0.605,
2005-10,0.697,
2006-01,0.652,
2006-04,0.695,
2006-07,0.641,
2006-10,0.713,
2007-01,0.726,
2007-04,0.772,
2007-07,0.852,
2007-10,0.793,
2008-01,0.885,
2008-04,0.812,
2008-07,0.777,
2008-10,0.957,
2009-01,0.902,
2009-04,0.846,
2009-07,0.908,
2009-10,1.129,
2010-01,0.974,
2010-04,0.910,
2010-07,0.886,
2010-10,0.955,
2011-01,0.884,
2011-04,0.947,
2011-07,0.911,
2011-10,1.090,
2012-01,1.035,
2012-04,0.980,
2012-07,1.340,
2012-10,1.241,
2013-01,1.196,
2013-04,1.168,
2013-07,1.115,
2013-10,1.324,
2014-01,1.147,
2014-04,1.155,
2014-07,1.285,
