"",BBFN1.M.DE.N.1.A.PH.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.PH.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Philippines,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:28:32,
1994-12,0.270,
1995-01,0.258,
1995-02,0.250,
1995-03,0.264,
1995-04,0.273,
1995-05,0.281,
1995-06,0.280,
1995-07,0.295,
1995-08,0.273,
1995-09,0.273,
1995-10,0.276,
1995-11,0.275,
1995-12,0.303,
1996-01,0.301,
1996-02,0.299,
1996-03,0.321,
1996-04,0.325,
1996-05,0.349,
1996-06,0.353,
1996-07,0.351,
1996-08,0.371,
1996-09,0.403,
1996-10,0.382,
1996-11,0.380,
1996-12,0.405,
1997-01,0.399,
1997-02,0.512,
1997-03,0.365,
1997-04,0.368,
1997-05,0.377,
1997-06,0.387,
1997-07,0.396,
1997-08,0.415,
1997-09,0.383,
1997-10,0.370,
1997-11,0.386,
1997-12,0.349,
1998-01,0.421,
1998-02,0.437,
1998-03,0.444,
1998-04,0.432,
1998-05,0.462,
1998-06,0.444,
1998-07,0.505,
1998-08,0.527,
1998-09,0.492,
1998-10,0.428,
1998-11,0.473,
1998-12,0.436,
1999-01,0.435,
1999-02,0.432,
1999-03,0.486,
1999-04,0.319,
1999-05,0.466,
1999-06,0.525,
1999-07,0.537,
1999-08,0.532,
1999-09,0.726,
1999-10,0.733,
1999-11,0.736,
1999-12,0.623,
2000-01,0.469,
2000-02,0.468,
2000-03,0.579,
2000-04,0.498,
2000-05,0.542,
2000-06,0.523,
2000-07,0.522,
2000-08,0.616,
2000-09,0.636,
2000-10,0.617,
2000-11,0.603,
2000-12,0.636,
2001-01,0.601,
2001-02,0.593,
2001-03,0.593,
2001-04,0.659,
2001-05,0.698,
2001-06,0.760,
2001-07,0.519,
2001-08,0.627,
2001-09,0.680,
2001-10,0.689,
2001-11,0.686,
2001-12,0.657,
2002-01,0.609,
2002-02,0.619,
2002-03,0.677,
2002-04,0.554,
2002-05,0.675,
2002-06,0.699,
2002-07,0.650,
2002-08,0.645,
2002-09,0.594,
2002-10,0.618,
2002-11,0.626,
2002-12,0.640,
2003-01,0.770,
2003-02,0.677,
2003-03,0.666,
2003-04,0.676,
2003-05,0.665,
2003-06,0.656,
2003-07,0.634,
2003-08,0.641,
2003-09,0.636,
2003-10,0.621,
2003-11,0.628,
2003-12,0.648,
2004-01,0.649,
2004-02,0.649,
2004-03,0.659,
2004-04,0.656,
2004-05,0.672,
2004-06,0.651,
2004-07,0.648,
2004-08,0.647,
2004-09,0.645,
2004-10,0.660,
2004-11,0.669,
2004-12,0.641,
2005-01,0.652,
2005-02,0.654,
2005-03,0.649,
2005-04,0.911,
2005-05,0.897,
2005-06,0.920,
2005-07,0.921,
2005-08,0.929,
2005-09,0.918,
2005-10,0.925,
2005-11,1.211,
2005-12,0.879,
2006-01,0.875,
2006-02,0.871,
2006-03,0.863,
2006-04,0.843,
2006-05,0.859,
2006-06,0.888,
2006-07,0.880,
2006-08,1.131,
2006-09,1.105,
2006-10,1.102,
2006-11,1.106,
2006-12,1.094,
2007-01,1.034,
2007-02,1.058,
2007-03,1.071,
2007-04,1.140,
2007-05,1.495,
2007-06,1.493,
2007-07,1.483,
2007-08,1.482,
2007-09,1.463,
2007-10,1.466,
2007-11,1.455,
2007-12,1.172,
2008-01,1.174,
2008-02,1.175,
2008-03,1.001,
2008-04,0.762,
2008-05,0.760,
2008-06,0.746,
2008-07,0.756,
2008-08,0.747,
2008-09,0.780,
2008-10,0.971,
2008-11,0.978,
2008-12,0.996,
2009-01,0.773,
2009-02,0.772,
2009-03,0.800,
2009-04,0.603,
2009-05,0.601,
2009-06,0.585,
2009-07,0.610,
2009-08,0.607,
2009-09,0.584,
2009-10,0.586,
2009-11,0.580,
2009-12,0.590,
2010-01,0.582,
2010-02,0.572,
2010-03,0.575,
2010-04,0.613,
2010-05,0.615,
2010-06,0.625,
2010-07,0.610,
2010-08,0.629,
2010-09,0.615,
2010-10,0.658,
2010-11,0.592,
2010-12,0.613,
2011-01,0.580,
2011-02,0.604,
2011-03,0.600,
2011-04,0.607,
2011-05,0.604,
2011-06,0.617,
2011-07,0.601,
2011-08,0.592,
2011-09,0.597,
2011-10,0.607,
2011-11,0.608,
2011-12,0.610,
2012-01,0.620,
2012-02,0.637,
2012-03,0.652,
2012-04,0.630,
2012-05,0.642,
2012-06,0.639,
2012-07,0.628,
2012-08,0.614,
2012-09,0.606,
2012-10,0.624,
2012-11,0.621,
2012-12,0.631,
2013-01,0.620,
2013-02,0.640,
2013-03,0.653,
2013-04,0.657,
2013-05,0.656,
2013-06,0.665,
2013-07,0.661,
2013-08,0.684,
2013-09,0.675,
2013-10,0.701,
2013-11,0.702,
2013-12,0.702,
2014-01,0.708,
2014-02,0.652,
2014-03,0.652,
2014-04,0.653,
2014-05,0.648,
2014-06,0.626,
2014-07,0.643,
2014-08,0.659,
2014-09,0.679,
2014-10,0.680,
2014-11,0.695,
2014-12,0.714,
