"",BBK01.OEHB07U,BBK01.OEHB07U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:33,
2002-01,0.460,
2002-04,0.455,
2002-07,0.463,
2002-10,0.464,
2003-01,0.464,
2003-04,0.464,
2003-07,0.445,
2003-10,0.426,
2004-01,0.406,
2004-04,0.393,
2004-07,0.381,
2004-10,0.391,
2005-01,0.376,
2005-04,0.378,
2005-07,0.363,
2005-10,0.354,
2006-01,0.359,
2006-04,0.403,
2006-07,0.409,
2006-10,0.418,
2007-01,0.413,
2007-04,0.419,
2007-07,0.417,
2007-10,0.449,
2008-01,0.439,
2008-04,0.455,
2008-07,0.449,
2008-10,0.442,
2009-01,0.443,
2009-04,0.441,
2009-07,0.476,
2009-10,0.467,
2010-01,0.460,
2010-04,0.472,
2010-07,0.485,
2010-10,0.472,
2011-01,0.506,
2011-04,0.479,
2011-07,0.475,
2011-10,0.478,
2012-01,0.482,
2012-04,0.492,
2012-07,0.493,
2012-10,0.485,
2013-01,0.505,
2013-04,0.502,
2013-07,0.509,
2013-10,0.511,
2014-01,0.508,
2014-04,0.490,
2014-07,0.479,
