"",BBEX3.M.AOA.USD.CA.AB.A01,BBEX3.M.AOA.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Angola / USD 1 = AOA ... (selling),
unit,AOA (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:15:41,
1999-12,5.63325,comment
2000-01,5.94367,
2000-02,5.94145,
2000-03,6.04927,
2000-04,6.93289,
2000-05,8.62564,
2000-06,10.50106,
2000-07,11.50460,
2000-08,12.64006,
2000-09,13.03566,
2000-10,13.89839,
2000-11,15.16099,
2000-12,16.95680,
2001-01,18.86993,
2001-02,19.67578,
2001-03,19.70278,
2001-04,19.71061,
2001-05,19.82639,
2001-06,20.26955,
2001-07,21.29579,
2001-08,22.52465,
2001-09,24.30309,
2001-10,26.55782,
2001-11,28.77421,
2001-12,32.05986,
2002-01,34.21473,
2002-02,36.21552,
2002-03,37.48291,
2002-04,39.35220,
2002-05,41.59269,
2002-06,43.91448,
2002-07,45.63984,
2002-08,47.74768,
2002-09,49.88847,
2002-10,52.13613,
2002-11,55.37442,
2002-12,58.93629,
2003-01,63.20180,
2003-02,66.87625,
2003-03,68.90592,
2003-04,71.83525,
2003-05,74.73461,
2003-06,78.98440,
2003-07,83.92006,
2003-08,86.44865,
2003-09,79.37210,
2003-10,78.71634,
2003-11,78.15854,
2003-12,79.19599,comment
2004-01,80.50375,
2004-02,80.05434,
2004-03,80.93728,
2004-04,82.08461,
2004-05,82.82383,
2004-06,83.76694,
2004-07,84.30525,
2004-08,85.55343,
2004-09,87.12150,
2004-10,87.27600,
2004-11,86.90049,
2004-12,85.78678,
2005-01,87.41105,
2005-02,87.25579,
2005-03,87.33093,
2005-04,88.23617,
2005-05,89.19856,
2005-06,89.40605,
2005-07,89.42062,
2005-08,89.42135,
2005-09,89.42830,
2005-10,87.84748,
2005-11,80.96879,
2005-12,80.98095,
2006-01,80.54871,
2006-02,80.55664,
2006-03,80.55866,
2006-04,80.57580,
2006-05,80.56238,
2006-06,80.57407,
2006-07,80.57531,
2006-08,80.56943,
2006-09,80.57295,
2006-10,80.57613,
2006-11,80.40779,comment
2006-12,80.48357,
2007-01,80.47704,
2007-02,80.16684,
2007-03,80.16460,
2007-04,79.01100,
2007-05,75.16200,
2007-06,75.15700,
2007-07,75.15700,
2007-08,75.16000,
2007-09,75.17300,
2007-10,75.19000,
2007-11,75.20200,
2007-12,75.21000,
2008-01,75.22400,
2008-02,75.22500,
2008-03,75.25000,
2008-04,75.20200,
2008-05,75.19600,
2008-06,75.20900,
2008-07,75.20300,
2008-08,75.20800,
2008-09,75.21300,
2008-10,75.21600,
2008-11,75.21500,
2008-12,75.35600,
2009-01,75.31700,
2009-02,75.90200,
2009-03,75.67600,
2009-04,78.00000,
2009-05,78.00000,
2009-06,78.00000,
2009-07,78.00000,
2009-08,78.00000,
2009-09,78.00000,
2009-10,84.60000,
2009-11,88.16600,
2009-12,89.62100,
2010-01,90.34600,
2010-02,90.58300,
2010-03,93.09300,
2010-04,93.71800,
2010-05,92.81300,
2010-06,92.80300,
2010-07,92.80300,
2010-08,90.50800,
2010-09,92.03100,
2010-10,92.99000,
2010-11,92.50400,
2010-12,92.87400,
2011-01,93.42200,
2011-02,93.49600,
2011-03,93.50200,
2011-04,93.50800,
2011-05,93.51500,
2011-06,93.53700,
2011-07,93.54900,
2011-08,93.67500,
2011-09,94.93300,
2011-10,95.40300,
2011-11,95.48900,
2011-12,95.51900,
2012-01,95.53100,
2012-02,95.54200,
2012-03,95.55500,
2012-04,95.56800,
2012-05,95.58300,
2012-06,95.59900,
2012-07,95.61500,
2012-08,95.63100,
2012-09,95.65500,
2012-10,95.70800,
2012-11,95.95100,
2012-12,96.06500,
2013-01,96.17900,
2013-02,96.20100,
2013-03,96.22300,
2013-04,96.28400,
2013-05,96.40800,
2013-06,96.55200,
2013-07,96.18900,
2013-08,96.29000,
2013-09,97.63600,
2013-10,97.26600,
2013-11,97.63000,
2013-12,97.86200,
2014-01,97.85800,
2014-02,97.84600,
2014-03,97.85500,
2014-04,97.87900,
2014-05,97.90300,
2014-06,97.82300,
2014-07,97.20400,
2014-08,97.73100,
2014-09,98.44100,
2014-10,99.68400,
2014-11,101.05700,
2014-12,102.94000,
2015-01,104.68900,
"","General: With effect from 13 December 1999, a currency changeover took place to the ratio of 1,000,000 AOR (readjusted kwanza) = 1 AOA (kwanza).",
"","Source: Banco Nacional de Angola, Luanda.",
"","Comment on 1999-12: With effect from 13 December 1999, a currency changeover took place. We recorded the following exchange rates (buying/selling rate).10 December 1999: USD 1 = AOR 5,411,295 / 5,497,82613 December 1999: USD 1 = AOA 5.40 / 5.50.",
"",Comment on 2003-12: Exchange rate as of 5 January 2004.,
"",Comment on 2006-11: Exchange rate as of 1 December 2006.,
