"",BBK01.OEAB07M,BBK01.OEAB07M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:17,
2002-01,23.170,
2002-04,23.129,
2002-07,23.272,
2002-10,23.715,
2003-01,24.000,
2003-04,25.157,
2003-07,25.950,
2003-10,25.579,
2004-01,25.447,
2004-04,25.488,
2004-07,25.446,
2004-10,23.751,
2005-01,25.068,
2005-04,24.239,
2005-07,23.737,
2005-10,23.248,
2006-01,23.188,
2006-04,24.072,
2006-07,24.288,
2006-10,24.388,
2007-01,24.131,
2007-04,23.338,
2007-07,24.844,
2007-10,25.639,
2008-01,24.456,
2008-04,24.742,
2008-07,24.462,
2008-10,24.351,
2009-01,24.973,
2009-04,26.119,
2009-07,27.413,
2009-10,28.393,
2010-01,28.764,
2010-04,29.101,
2010-07,29.764,
2010-10,30.229,
2011-01,29.501,
2011-04,29.145,
2011-07,29.783,
2011-10,31.158,
2012-01,31.704,
2012-04,33.070,
2012-07,33.752,
2012-10,34.575,
2013-01,33.675,
2013-04,34.658,
2013-07,34.451,
2013-10,34.896,
2014-01,35.062,
2014-04,33.962,
2014-07,34.387,
