"",BBK01.OELI04J,BBK01.OELI04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:45,
2002-01,0.177,
2002-04,0.151,
2002-07,0.145,
2002-10,0.153,
2003-01,0.144,
2003-04,0.138,
2003-07,0.147,
2003-10,0.146,
2004-01,0.143,
2004-04,0.130,
2004-07,0.128,
2004-10,0.144,
2005-01,0.133,
2005-04,0.137,
2005-07,0.149,
2005-10,0.144,
2006-01,0.163,
2006-04,0.162,
2006-07,0.167,
2006-10,0.155,
2007-01,0.139,
2007-04,0.160,
2007-07,0.155,
2007-10,0.159,
2008-01,0.202,
2008-04,0.218,
2008-07,0.191,
2008-10,0.251,
2009-01,0.224,
2009-04,0.191,
2009-07,0.158,
2009-10,0.150,
2010-01,0.148,
2010-04,0.126,
2010-07,0.118,
2010-10,0.116,
2011-01,0.123,
2011-04,0.132,
2011-07,0.144,
2011-10,0.145,
2012-01,0.131,
2012-04,0.120,
2012-07,0.110,
2012-10,0.107,
2013-01,0.100,
2013-04,0.091,
2013-07,0.095,
2013-10,0.091,
2014-01,0.091,
2014-04,0.093,
2014-07,0.091,
