"",BBDE1.M.DE.W.BAA1.A2P310000.G.C.I10.A,BBDE1.M.DE.W.BAA1.A2P310000.G.C.I10.A_FLAGS
"",Output in the production sector / Germany / Intermediate goods / Calendar adjusted only,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:29:38,
1991-01,74.9,
1991-02,74.4,
1991-03,83.0,
1991-04,78.8,
1991-05,77.1,
1991-06,82.4,
1991-07,77.0,
1991-08,71.4,
1991-09,81.1,
1991-10,83.1,
1991-11,83.7,
1991-12,70.4,
1992-01,75.1,
1992-02,76.7,
1992-03,84.4,
1992-04,79.7,
1992-05,78.7,
1992-06,80.1,
1992-07,75.8,
1992-08,71.4,
1992-09,79.3,
1992-10,79.8,
1992-11,78.8,
1992-12,64.9,
1993-01,68.1,
1993-02,68.2,
1993-03,76.1,
1993-04,72.3,
1993-05,70.8,
1993-06,73.8,
1993-07,69.9,
1993-08,67.6,
1993-09,76.4,
1993-10,77.7,
1993-11,76.6,
1993-12,64.1,
1994-01,68.9,
1994-02,69.8,
1994-03,78.7,
1994-04,75.5,
1994-05,75.1,
1994-06,78.1,
1994-07,74.6,
1994-08,71.3,
1994-09,81.7,
1994-10,83.8,
1994-11,84.2,
1994-12,71.5,
1995-01,71.6,
1995-02,74.7,
1995-03,82.7,
1995-04,78.6,
1995-05,78.3,
1995-06,80.4,
1995-07,76.9,
1995-08,71.0,
1995-09,82.1,
1995-10,80.6,
1995-11,79.7,
1995-12,65.3,
1996-01,69.9,
1996-02,69.9,
1996-03,79.2,
1996-04,75.2,
1996-05,76.1,
1996-06,78.5,
1996-07,75.9,
1996-08,72.3,
1996-09,82.1,
1996-10,81.8,
1996-11,81.3,
1996-12,68.2,
1997-01,70.5,
1997-02,73.9,
1997-03,83.1,
1997-04,80.0,
1997-05,78.4,
1997-06,83.6,
1997-07,82.4,
1997-08,75.7,
1997-09,85.5,
1997-10,87.2,
1997-11,86.3,
1997-12,72.8,
1998-01,77.6,
1998-02,78.7,
1998-03,88.3,
1998-04,82.9,
1998-05,83.0,
1998-06,85.5,
1998-07,84.3,
1998-08,77.7,
1998-09,86.1,
1998-10,86.4,
1998-11,83.9,
1998-12,69.2,
1999-01,77.6,
1999-02,76.4,
1999-03,86.1,
1999-04,82.3,
1999-05,81.7,
1999-06,85.5,
1999-07,84.6,
1999-08,79.0,
1999-09,89.4,
1999-10,89.1,
1999-11,88.5,
1999-12,74.8,
2000-01,78.4,
2000-02,82.2,
2000-03,91.1,
2000-04,86.7,
2000-05,88.6,
2000-06,89.4,
2000-07,90.0,
2000-08,84.2,
2000-09,93.5,
2000-10,94.2,
2000-11,94.0,
2000-12,79.4,
2001-01,84.0,
2001-02,86.1,
2001-03,94.3,
2001-04,87.3,
2001-05,87.6,
2001-06,91.1,
2001-07,87.6,
2001-08,82.6,
2001-09,91.0,
2001-10,90.4,
2001-11,88.5,
2001-12,73.5,
2002-01,79.5,
2002-02,82.0,
2002-03,91.0,
2002-04,86.6,
2002-05,85.7,
2002-06,89.8,
2002-07,88.5,
2002-08,83.3,
2002-09,91.9,
2002-10,91.6,
2002-11,91.5,
2002-12,75.1,
2003-01,81.6,
2003-02,81.9,
2003-03,92.1,
2003-04,87.0,
