"",BBK01.OEBB15V,BBK01.OEBB15V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:15,
2002-01,0.311,
2002-04,0.319,
2002-07,0.314,
2002-10,0.328,
2003-01,0.341,
2003-04,0.277,
2003-07,0.272,
2003-10,0.261,
2004-01,0.267,
2004-04,0.267,
2004-07,0.266,
2004-10,0.269,
2005-01,0.276,
2005-04,0.283,
2005-07,0.286,
2005-10,0.282,
2006-01,0.281,
2006-04,0.286,
2006-07,0.282,
2006-10,0.278,
2007-01,0.293,
2007-04,0.293,
2007-07,0.305,
2007-10,0.276,
2008-01,0.281,
2008-04,0.291,
2008-07,0.288,
2008-10,0.304,
2009-01,0.306,
2009-04,0.397,
2009-07,0.386,
2009-10,0.391,
2010-01,0.314,
2010-04,0.318,
2010-07,0.301,
2010-10,0.303,
2011-01,0.302,
2011-04,0.303,
2011-07,0.305,
2011-10,0.303,
2012-01,0.301,
2012-04,0.305,
2012-07,0.298,
2012-10,0.293,
2013-01,0.293,
2013-04,0.294,
2013-07,0.295,
2013-10,0.297,
2014-01,0.293,
2014-04,0.249,
2014-07,0.248,
