"",BBK01.OEAH07L,BBK01.OEAH07L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:06,
2002-01,156.850,
2002-04,153.899,
2002-07,138.452,
2002-10,139.476,
2003-01,139.713,
2003-04,139.191,
2003-07,139.590,
2003-10,143.314,
2004-01,137.027,
2004-04,138.295,
2004-07,145.035,
2004-10,144.861,
2005-01,147.325,
2005-04,147.704,
2005-07,148.748,
2005-10,140.941,
2006-01,143.480,
2006-04,146.240,
2006-07,146.207,
2006-10,145.337,
2007-01,141.398,
2007-04,141.801,
2007-07,143.024,
2007-10,140.894,
2008-01,140.648,
2008-04,140.449,
2008-07,148.683,
2008-10,157.116,
2009-01,157.634,
2009-04,147.872,
2009-07,138.142,
2009-10,138.062,
2010-01,134.276,
2010-04,134.863,
2010-07,141.039,
2010-10,162.333,
2011-01,156.540,
2011-04,154.965,
2011-07,154.051,
2011-10,152.893,
2012-01,149.975,
2012-04,147.653,
2012-07,145.207,
2012-10,142.666,
2013-01,144.025,
2013-04,143.025,
2013-07,144.556,
2013-10,143.567,
2014-01,141.990,
2014-04,140.465,
2014-07,139.787,
