"",BBK01.OECB24N,BBK01.OECB24N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:55,
2002-01,0.867,
2002-04,0.925,
2002-07,0.930,
2002-10,0.969,
2003-01,1.029,
2003-04,1.047,
2003-07,1.097,
2003-10,1.112,
2004-01,1.116,
2004-04,1.126,
2004-07,1.195,
2004-10,1.220,
2005-01,4.156,
2005-04,4.384,
2005-07,4.341,
2005-10,4.320,
2006-01,4.159,
2006-04,3.831,
2006-07,3.618,
2006-10,3.684,
2007-01,3.609,
2007-04,3.496,
2007-07,3.061,
2007-10,3.322,
2008-01,3.290,
2008-04,3.423,
2008-07,3.478,
2008-10,3.301,
2009-01,3.157,
2009-04,3.940,
2009-07,3.910,
2009-10,3.151,
2010-01,3.081,
2010-04,3.035,
2010-07,3.079,
2010-10,3.946,
2011-01,3.783,
2011-04,3.675,
2011-07,3.645,
2011-10,3.577,
2012-01,3.537,
2012-04,3.509,
2012-07,3.486,
2012-10,3.469,
2013-01,3.528,
2013-04,3.481,
2013-07,3.413,
2013-10,3.326,
2014-01,3.396,
2014-04,3.301,
2014-07,3.230,
