"",BBFB1.M.N.DE.W1.S1.S1.T.C.SF._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.SF._Z._Z._Z._T._X.N_FLAGS
"",Current account / Insurance and pension services / Receipts / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:36:26,
1991-01,73.536,
1991-02,73.535,
1991-03,73.535,
1991-04,75.220,
1991-05,75.220,
1991-06,75.217,
1991-07,76.621,
1991-08,76.621,
1991-09,76.623,
1991-10,73.950,
1991-11,73.950,
1991-12,73.950,
1992-01,76.754,
1992-02,76.753,
1992-03,76.755,
1992-04,76.216,
1992-05,76.217,
1992-06,76.213,
1992-07,77.146,
1992-08,77.146,
1992-09,77.146,
1992-10,78.348,
1992-11,78.347,
1992-12,78.350,
1993-01,72.480,
1993-02,72.317,
1993-03,91.188,
1993-04,73.431,
1993-05,72.755,
1993-06,92.893,
1993-07,73.664,
1993-08,73.859,
1993-09,94.707,
1993-10,74.420,
1993-11,73.847,
1993-12,93.406,
1994-01,74.542,
1994-02,74.108,
1994-03,95.072,
1994-04,75.022,
1994-05,74.925,
1994-06,96.033,
1994-07,75.941,
1994-08,75.648,
1994-09,95.771,
1994-10,77.596,
1994-11,76.695,
1994-12,96.424,
1995-01,85.078,
1995-02,85.235,
1995-03,82.711,
1995-04,88.474,
1995-05,88.033,
1995-06,84.893,
1995-07,91.707,
1995-08,92.058,
1995-09,90.468,
1995-10,97.770,
1995-11,97.505,
1995-12,96.290,
1996-01,104.702,
1996-02,103.959,
1996-03,105.873,
1996-04,114.660,
1996-05,113.530,
1996-06,114.609,
1996-07,124.724,
1996-08,124.316,
1996-09,123.157,
1996-10,137.084,
1996-11,137.481,
1996-12,135.402,
1997-01,151.223,
1997-02,151.663,
1997-03,151.044,
1997-04,164.957,
1997-05,164.879,
1997-06,169.266,
1997-07,179.203,
1997-08,178.890,
1997-09,181.150,
1997-10,192.584,
1997-11,192.960,
1997-12,199.573,
1998-01,205.652,
1998-02,206.377,
1998-03,208.523,
1998-04,199.604,
1998-05,199.622,
1998-06,206.765,
1998-07,175.392,
1998-08,174.510,
1998-09,178.294,
1998-10,131.283,
1998-11,130.234,
1998-12,134.800,
1999-01,70.173,
1999-02,69.299,
1999-03,68.800,
1999-04,44.578,
1999-05,43.529,
1999-06,43.029,
1999-07,53.712,
1999-08,53.865,
1999-09,55.086,
1999-10,100.711,
1999-11,101.448,
1999-12,100.679,
2000-01,184.638,
2000-02,185.292,
2000-03,180.215,
2000-04,211.456,
2000-05,211.544,
2000-06,210.128,
2000-07,179.860,
2000-08,179.419,
2000-09,177.670,
2000-10,90.564,
2000-11,90.725,
2000-12,90.096,
2001-01,-56.417,
2001-02,-56.429,
2001-03,-60.582,
2001-04,-111.066,
2001-05,-109.375,
2001-06,-113.218,
2001-07,-71.052,
2001-08,-71.249,
2001-09,-75.995,
2001-10,63.465,
2001-11,61.255,
2001-12,65.354,
2002-01,286.817,
2002-02,286.206,
2002-03,297.243,
2002-04,412.043,
2002-05,411.680,
2002-06,412.995,
2002-07,435.958,
2002-08,435.827,
2002-09,437.200,
2002-10,360.296,
2002-11,360.556,
2002-12,366.345,
2003-01,183.763,
2003-02,183.683,
2003-03,178.565,
2003-04,96.803,
2003-05,99.466,
2003-06,90.892,
2003-07,99.438,
2003-08,99.736,
2003-09,96.705,
2003-10,192.081,
2003-11,192.263,
2003-12,191.050,
2004-01,373.899,
2004-02,374.601,
2004-03,374.869,
2004-04,473.347,
2004-05,473.978,
2004-06,477.387,
2004-07,489.896,
2004-08,489.548,
2004-09,491.228,
2004-10,422.558,
2004-11,422.629,
2004-12,425.344,
2005-01,277.060,
2005-02,275.267,
2005-03,274.313,
2005-04,198.315,
2005-05,197.957,
2005-06,188.023,
2005-07,192.926,
2005-08,192.081,
2005-09,184.173,
2005-10,260.028,
2005-11,257.935,
2005-12,250.386,
2006-01,394.485,
2006-02,393.240,
2006-03,391.196,
2006-04,491.263,
2006-05,490.418,
2006-06,492.440,
2006-07,544.489,
2006-08,544.371,
2006-09,543.269,
2006-10,555.774,
2006-11,554.106,
2006-12,555.049,
2007-01,523.050,
2007-02,521.891,
2007-03,519.985,
2007-04,492.991,
2007-05,493.180,
2007-06,492.317,
2007-07,466.104,
2007-08,464.667,
2007-09,463.716,
2007-10,443.769,
2007-11,439.143,
2007-12,434.782,
2008-01,415.969,
2008-02,416.011,
2008-03,413.304,
2008-04,420.087,
2008-05,420.468,
2008-06,422.909,
2008-07,450.768,
2008-08,451.900,
2008-09,450.723,
2008-10,509.001,
2008-11,511.824,
2008-12,507.769,
2009-01,594.784,
2009-02,596.242,
2009-03,587.627,
2009-04,641.248,
2009-05,640.819,
2009-06,635.037,
2009-07,644.624,
2009-08,644.462,
2009-09,641.876,
2009-10,611.348,
2009-11,614.834,
2009-12,609.948,
2010-01,540.087,
2010-02,540.047,
2010-03,546.146,
2010-04,479.178,
2010-05,479.482,
2010-06,499.284,
2010-07,430.103,
2010-08,431.185,
2010-09,436.832,
2010-10,392.230,
2010-11,394.813,
2010-12,395.318,
2011-01,366.624,
2011-02,367.412,
2011-03,360.327,
2011-04,349.455,
2011-05,350.227,
2011-06,356.714,
2011-07,342.298,
2011-08,343.030,
2011-09,338.318,
2011-10,350.578,
2011-11,347.930,
2011-12,343.466,
2012-01,357.216,
2012-02,357.814,
2012-03,356.613,
2012-04,369.110,
2012-05,370.124,
2012-06,376.612,
2012-07,376.871,
2012-08,376.246,
2012-09,375.745,
2012-10,389.070,
2012-11,380.917,
2012-12,378.293,
2013-01,384.935,
2013-02,389.074,
2013-03,448.623,
2013-04,388.862,
2013-05,395.317,
2013-06,487.413,
2013-07,394.187,
2013-08,394.113,
2013-09,442.118,
2013-10,397.308,
2013-11,399.815,
2013-12,448.850,
2014-01,454.222,
2014-02,611.752,Provisional value
2014-03,702.741,Provisional value
2014-04,537.670,Provisional value
2014-05,651.259,Provisional value
2014-06,780.180,Provisional value
2014-07,549.406,Provisional value
2014-08,508.899,Provisional value
2014-09,670.100,
2014-10,661.967,
2014-11,480.725,
2014-12,693.589,Provisional value
