"",BBFN1.M.DE.N.1.L.B0.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.B0.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
1988-02,10.790,
1988-03,10.864,
1988-04,11.325,
1988-05,11.491,
1988-06,11.771,
1988-07,11.834,
1988-08,11.897,
1988-09,11.850,
1988-10,11.753,
1988-11,11.915,
1988-12,12.621,
1989-01,13.180,
1989-02,13.829,
1989-03,13.944,
1989-04,14.356,
1989-05,14.424,
1989-06,14.413,
1989-07,14.479,
1989-08,14.465,
1989-09,14.388,
1989-10,14.509,
1989-11,14.647,
1989-12,14.493,
1990-01,15.073,
1990-02,15.264,
1990-03,15.584,
1990-04,16.258,
1990-05,16.422,
1990-06,16.964,
1990-07,17.186,
1990-08,16.835,
1990-09,16.737,
1990-10,16.644,
1990-11,16.777,
1990-12,16.658,
1991-01,16.923,
1991-02,17.698,
1991-03,17.853,
1991-04,18.168,
1991-05,17.919,
1991-06,18.047,
1991-07,18.458,
1991-08,18.319,
1991-09,18.414,
1991-10,18.458,
1991-11,18.788,
1991-12,18.906,
1992-01,19.383,
1992-02,19.315,
1992-03,19.637,
1992-04,20.064,
1992-05,20.236,
1992-06,20.543,
1992-07,20.693,
1992-08,21.114,
1992-09,21.548,
1992-10,22.073,
1992-11,22.650,
1992-12,23.557,
1993-01,23.802,
1993-02,24.677,
1993-03,24.897,
1993-04,25.034,
1993-05,25.463,
1993-06,25.750,
1993-07,25.971,
1993-08,26.076,
1993-09,25.716,
1993-10,25.398,
1993-11,25.818,
1993-12,26.897,
1994-01,27.336,
1994-02,27.831,
1994-03,28.069,
1994-04,28.457,
1994-05,29.035,
1994-06,29.009,
1994-07,29.863,
1994-08,30.643,
1994-09,30.505,
1994-10,29.410,
1994-11,29.353,
1994-12,30.591,
1995-01,29.487,
1995-02,29.041,
1995-03,29.153,
1995-04,29.460,
1995-05,30.046,
1995-06,29.982,
1995-07,31.072,
1995-08,30.977,
1995-09,31.057,
1995-10,31.291,
1995-11,31.440,
1995-12,30.528,
1996-01,30.470,
1996-02,30.394,
1996-03,30.268,
1996-04,30.640,
1996-05,30.684,
1996-06,30.329,
1996-07,30.521,
1996-08,30.761,
1996-09,31.199,
1996-10,31.384,
1996-11,31.308,
1996-12,30.358,
1997-01,31.045,
1997-02,31.499,
1997-03,31.701,
1997-04,32.053,
1997-05,31.883,
1997-06,31.885,
1997-07,33.140,
1997-08,33.573,
1997-09,34.354,
1997-10,34.457,
1997-11,34.523,
1997-12,34.965,
1998-01,35.819,
1998-02,37.248,
1998-03,37.941,
1998-04,38.953,
1998-05,39.731,
1998-06,41.798,
1998-07,43.930,
1998-08,44.610,
1998-09,45.459,
1998-10,47.969,
1998-11,46.479,
1998-12,48.333,
1999-01,49.323,
1999-02,49.405,
1999-03,49.164,
1999-04,49.129,
1999-05,53.404,
1999-06,54.281,
1999-07,59.592,
1999-08,61.043,
1999-09,63.704,
1999-10,66.798,
1999-11,68.337,
1999-12,70.059,
2000-01,75.493,
2000-02,75.412,
2000-03,75.410,
2000-04,72.199,
2000-05,72.892,
2000-06,75.465,
2000-07,91.817,
2000-08,91.684,
2000-09,94.484,
2000-10,94.828,
2000-11,94.207,
2000-12,136.484,
2001-01,141.449,
2001-02,143.956,
2001-03,145.144,
2001-04,146.751,
2001-05,151.280,
2001-06,152.673,
2001-07,162.801,
2001-08,166.160,
2001-09,170.458,
2001-10,172.423,
2001-11,176.701,
2001-12,176.751,
2002-01,190.873,
2002-02,193.651,
2002-03,188.999,
2002-04,197.537,
2002-05,215.584,
2002-06,211.514,
2002-07,214.808,
2002-08,216.476,
2002-09,218.786,
2002-10,221.638,
2002-11,224.781,
2002-12,225.407,
2003-01,219.908,
2003-02,222.597,
2003-03,217.513,
2003-04,221.727,
2003-05,222.695,
2003-06,227.503,
2003-07,226.903,
2003-08,231.578,
2003-09,232.315,
2003-10,233.153,
2003-11,233.902,
2003-12,224.575,
2004-01,222.259,
2004-02,196.819,
2004-03,195.602,
2004-04,196.342,
2004-05,201.489,
2004-06,206.342,
2004-07,205.016,
2004-08,204.226,
2004-09,201.983,
2004-10,197.174,
2004-11,194.242,
2004-12,193.247,
2005-01,196.775,
2005-02,201.651,
2005-03,201.571,
2005-04,201.524,
2005-05,204.358,
2005-06,204.818,
2005-07,201.819,
2005-08,201.823,
2005-09,204.943,
2005-10,210.802,
2005-11,213.052,
2005-12,214.918,
2006-01,217.520,
2006-02,221.306,
2006-03,224.378,
2006-04,225.197,
2006-05,226.537,
2006-06,233.148,
2006-07,234.579,
2006-08,236.023,
2006-09,236.810,
2006-10,238.429,
2006-11,240.755,
2006-12,238.574,
2007-01,239.241,
2007-02,235.895,
2007-03,236.670,
2007-04,239.585,
2007-05,239.265,
2007-06,239.250,
2007-07,238.729,
2007-08,243.565,
2007-09,243.837,
2007-10,246.776,
2007-11,243.740,
2007-12,238.858,
2008-01,241.850,
2008-02,245.955,
2008-03,249.902,
2008-04,255.822,
2008-05,261.106,
2008-06,257.784,
2008-07,258.768,
2008-08,260.825,
2008-09,265.750,
2008-10,270.553,
2008-11,274.505,
2008-12,278.729,
2009-01,289.001,
2009-02,301.131,
2009-03,298.949,
2009-04,302.359,
2009-05,307.682,
2009-06,308.117,
2009-07,313.053,
2009-08,318.679,
2009-09,315.600,
2009-10,315.427,
2009-11,316.079,
2009-12,320.323,
2010-01,316.329,
2010-02,317.035,
2010-03,322.618,
2010-04,324.927,
2010-05,325.331,
2010-06,323.840,
2010-07,329.018,
2010-08,328.232,
2010-09,327.902,
2010-10,325.927,
2010-11,324.958,
2010-12,336.882,
2011-01,334.490,
2011-02,332.562,
2011-03,336.622,
2011-04,334.614,
2011-05,337.885,
2011-06,335.205,
2011-07,338.096,
2011-08,338.373,
2011-09,335.187,
2011-10,336.161,
2011-11,330.252,
2011-12,330.549,
2012-01,332.428,
2012-02,332.697,
2012-03,335.048,
2012-04,340.069,
2012-05,338.673,
2012-06,342.016,
2012-07,341.278,
2012-08,346.336,
2012-09,342.989,
2012-10,343.860,
2012-11,346.971,
2012-12,344.392,
2013-01,346.018,
2013-02,343.156,
2013-03,349.759,
2013-04,362.859,
2013-05,361.450,
2013-06,359.880,
2013-07,355.358,
2013-08,354.868,
2013-09,359.882,
2013-10,368.669,
2013-11,363.664,
2013-12,361.738,
2014-01,358.391,
2014-02,359.366,
2014-03,362.050,
2014-04,361.498,
2014-05,365.583,
2014-06,369.366,
2014-07,369.064,
2014-08,368.940,
2014-09,367.130,
2014-10,369.080,
2014-11,371.253,
2014-12,371.207,
"","General: From 1973, including Denmark, Ireland and the United Kingdom; from 1981, including Greece; from 1986, including Portugal and Spain; from 1995, including Austria, Finland and Sweden; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
