"",BBSF2.M.1.S.00000.TOT01.T.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.T.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Sales receipts / Not defined / Cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:44,
2009-09,20,
2009-10,206,
2009-11,45,
2009-12,1546,
2010-01,259,
2010-02,32,
2010-03,155,
2010-04,43,
2010-05,81,
2010-06,116,
2010-07,49,
2010-08,90,
2010-09,600,
2010-10,98,
2010-11,413,
2010-12,393,
2011-01,375,
2011-02,4175,
2011-03,117,
2011-04,159,
2011-05,129,
2011-06,250,
2011-07,89,
2011-08,544,
2011-09,142,
2011-10,345,
2011-11,244,
2011-12,1183,
2012-01,355,
2012-02,175,
2012-03,108,
2012-04,143,
2012-05,58,
2012-06,666,
2012-07,1460,
2012-08,239,
2012-09,122,
2012-10,67,
2012-11,257,
2012-12,178,
2013-01,165,
2013-02,90,
2013-03,102,
2013-04,243,
2013-05,788,
2013-06,261,
2013-07,616,
2013-08,215,
2013-09,109,
2013-10,105,
2013-11,63,
2013-12,221,
2014-01,396,
2014-02,25,
2014-03,384,
2014-04,371,
2014-05,581,
2014-06,96,
2014-07,168,
2014-08,165,
2014-09,1229,
2014-10,472,
2014-11,111,
